FOLDER,ELEMENT,ATTRIBUTE,,,,,,,
Default,Trip Current,ciDist,None,,,,,,
Default,Trip Current,ciDistAll,None,,,,,,
Default,Trip Current,ciDistAllRoot,None,,,,,,
Default,Trip Current,ciDistRoot,None,,,,,,
Default,Trip Current,ciEarthed,None,,,,,,
Default,Trip Current,ciEnergized,None,,,,,,
Default,Trip Current,ciLater,None,,,,,,
Default,Trip Current,ciOutaged,None,,,,,,
Default,Trip Current,cpArea,None,,,,,,
Default,Trip Current,cpBranch,None,,,,,,
Default,Trip Current,cpFeed,None,,,,,,
Default,Trip Current,cpGrid,None,,,,,,
Default,Trip Current,cpHeadFold,None,,,,,,
Default,Trip Current,cpMeteostat,None,,,,,,
Default,Trip Current,cpOperator,None,,,,,,
Default,Trip Current,cpOwner,None,,,,,,
Default,Trip Current,cpSite,None,,,,,,
Default,Trip Current,cpSubstat,None,,,,,,
Default,Trip Current,cpSupplySubstation,None,,,,,,
Default,Trip Current,cpSupplyTransformer,None,,,,,,
Default,Trip Current,cpSupplyTrfStation,None,,,,,,
Default,Trip Current,cpZone,None,,,,,,
Default,Trip Current,cptotime,None,,,,,,
Default,Trip Current,dat_src,None,,,,,,
Default,Trip Current,dataExtUnit,None,,,,,,
Default,Trip Current,fold_id,None,,,,,,
Default,Trip Current,for_name,None,,,,,,
Default,Trip Current,gnrl_modby,None,,,,,,
Default,Trip Current,gnrl_modif,None,,,,,,
Default,Trip Current,iSchemeStatus,None,,,,,,
Default,Trip Current,iacceptblock,None,,,,,,
Default,Trip Current,idir,None,,,,,,
Default,Trip Current,loc_name,None,,,,,,
Default,Trip Current,outserv,ON,,,,,,
Default,Trip Current,root_id,None,,,,,,
Default,Trip Current,typ_id,None,,,,,,
Default,Threshold Multiplier,AttributeType,None,,,,,,
Default,Threshold Multiplier,Ipset,Protection/Detection Settings/Protection Group A/,Phase Threshold Current Multiplier,use_setting,None,,,
Default,Threshold Multiplier,Ipsetr,None,,,,,,
Default,Threshold Multiplier,Trelblock,None,,,,,,
Default,Threshold Multiplier,Tset,None,,,,,,
Default,Threshold Multiplier,cDisplayName,None,,,,,,
Default,Threshold Multiplier,cTset,None,,,,,,
Default,Threshold Multiplier,cUserDefIndex,None,,,,,,
Default,Threshold Multiplier,c_sfansi,None,,,,,,
Default,Threshold Multiplier,c_sfiec,None,,,,,,
Default,Threshold Multiplier,c_type,None,,,,,,
Default,Threshold Multiplier,calcuse,None,,,,,,
Default,Threshold Multiplier,charact,None,,,,,,
Default,Threshold Multiplier,chr_name,None,,,,,,
Default,Threshold Multiplier,ciDist,None,,,,,,
Default,Threshold Multiplier,ciDistAll,None,,,,,,
Default,Threshold Multiplier,ciDistAllRoot,None,,,,,,
Default,Threshold Multiplier,ciDistRoot,None,,,,,,
Default,Threshold Multiplier,ciEarthed,None,,,,,,
Default,Threshold Multiplier,ciEnergized,None,,,,,,
Default,Threshold Multiplier,ciLater,None,,,,,,
Default,Threshold Multiplier,ciOutaged,None,,,,,,
Default,Threshold Multiplier,cpArea,None,,,,,,
Default,Threshold Multiplier,cpBranch,None,,,,,,
Default,Threshold Multiplier,cpFeed,None,,,,,,
Default,Threshold Multiplier,cpGrid,None,,,,,,
Default,Threshold Multiplier,cpHeadFold,None,,,,,,
Default,Threshold Multiplier,cpMeteostat,None,,,,,,
Default,Threshold Multiplier,cpOperator,None,,,,,,
Default,Threshold Multiplier,cpOwner,None,,,,,,
Default,Threshold Multiplier,cpSite,None,,,,,,
Default,Threshold Multiplier,cpSubstat,None,,,,,,
Default,Threshold Multiplier,cpSupplySubstation,None,,,,,,
Default,Threshold Multiplier,cpSupplyTransformer,None,,,,,,
Default,Threshold Multiplier,cpSupplyTrfStation,None,,,,,,
Default,Threshold Multiplier,cpZone,None,,,,,,
Default,Threshold Multiplier,cptotime,None,,,,,,
Default,Threshold Multiplier,dat_src,None,,,,,,
Default,Threshold Multiplier,dataExtUnit,None,,,,,,
Default,Threshold Multiplier,fold_id,None,,,,,,
Default,Threshold Multiplier,for_name,None,,,,,,
Default,Threshold Multiplier,gnrl_modby,None,,,,,,
Default,Threshold Multiplier,gnrl_modif,None,,,,,,
Default,Threshold Multiplier,iSchemeStatus,None,,,,,,
Default,Threshold Multiplier,iacceptblock,None,,,,,,
Default,Threshold Multiplier,idir,None,,,,,,
Default,Threshold Multiplier,loc_name,None,,,,,,
Default,Threshold Multiplier,outserv,ON,,,,,,
Default,Threshold Multiplier,root_id,None,,,,,,
Default,Threshold Multiplier,typ_id,None,,,,,,
Default,Trip 1,AttributeType,None,,,,,,
Default,Trip 1,actset,None,,,,,,
Default,Trip 1,application,None,,,,,,
Default,Trip 1,appr_modby,None,,,,,,
Default,Trip 1,appr_modif,None,,,,,,
Default,Trip 1,appr_status,None,,,,,,
Default,Trip 1,cDisplayName,None,,,,,,
Default,Trip 1,cUserDefIndex,None,,,,,,
Default,Trip 1,c_category,None,,,,,,
Default,Trip 1,cbranch,None,,,,,,
Default,Trip 1,cbranchid,None,,,,,,
Default,Trip 1,cctprim,None,,,,,,
Default,Trip 1,cctsec,None,,,,,,
Default,Trip 1,ccub,None,,,,,,
Default,Trip 1,charact,None,,,,,,
Default,Trip 1,chr_name,None,,,,,,
Default,Trip 1,ciDist,None,,,,,,
Default,Trip 1,ciDistAll,None,,,,,,
Default,Trip 1,ciDistAllRoot,None,,,,,,
Default,Trip 1,ciDistRoot,None,,,,,,
Default,Trip 1,ciEarthed,None,,,,,,
Default,Trip 1,ciEnergized,None,,,,,,
Default,Trip 1,ciLater,None,,,,,,
Default,Trip 1,ciOutaged,None,,,,,,
Default,Trip 1,cn_bus,None,,,,,,
Default,Trip 1,cn_rembus,None,,,,,,
Default,Trip 1,constr,None,,,,,,
Default,Trip 1,contents,None,,,,,,
Default,Trip 1,cpArea,None,,,,,,
Default,Trip 1,cpBranch,None,,,,,,
Default,Trip 1,cpCt,None,,,,,,
Default,Trip 1,cpFeed,None,,,,,,
Default,Trip 1,cpGrid,None,,,,,,
Default,Trip 1,cpHeadFold,None,,,,,,
Default,Trip 1,cpMeteostat,None,,,,,,
Default,Trip 1,cpOperator,None,,,,,,
Default,Trip 1,cpOwner,None,,,,,,
Default,Trip 1,cpShc,None,,,,,,
Default,Trip 1,cpSite,None,,,,,,
Default,Trip 1,cpSubstat,None,,,,,,
Default,Trip 1,cpSupplySubstation,None,,,,,,
Default,Trip 1,cpSupplyTransformer,None,,,,,,
Default,Trip 1,cpSupplyTrfStation,None,,,,,,
Default,Trip 1,cpVt,None,,,,,,
Default,Trip 1,cpZone,None,,,,,,
Default,Trip 1,ctprim,None,,,,,,
Default,Trip 1,ctsec,None,,,,,,
Default,Trip 1,cvtprim,None,,,,,,
Default,Trip 1,cvtsec,None,,,,,,
Default,Trip 1,dat_src,None,,,,,,
Default,Trip 1,dataExtUnit,None,,,,,,
Default,Trip 1,desc,None,,,,,,
Default,Trip 1,dev_no,None,,,,,,
Default,Trip 1,doc_id,None,,,,,,
Default,Trip 1,efaultmaxi,None,,,,,,
Default,Trip 1,efaultmini,None,,,,,,
Default,Trip 1,fold_id,None,,,,,,
Default,Trip 1,for_name,None,,,,,,
Default,Trip 1,gnrl_modby,None,,,,,,
Default,Trip 1,gnrl_modif,None,,,,,,
Default,Trip 1,iComDate,None,,,,,,
Default,Trip 1,iSchemeStatus,None,,,,,,
Default,Trip 1,isSubRelay,None,,,,,,
Default,Trip 1,loc_name,None,,,,,,
Default,Trip 1,outserv,ON,,,,,,
Default,Trip 1,pOperator,None,,,,,,
Default,Trip 1,pOwner,None,,,,,,
Default,Trip 1,pReference,None,,,,,,
Default,Trip 1,pdiselm,None,,,,,,
Default,Trip 1,pelm,None,,,,,,
Default,Trip 1,phfaultmaxi,None,,,,,,
Default,Trip 1,phfaultmini,None,,,,,,
Default,Trip 1,root_id,None,,,,,,
Default,Trip 1,sernum,None,,,,,,
Default,Trip 1,sw_settingsGroups,None,,,,,,
Default,Trip 1,td_bR,None,,,,,,
Default,Trip 1,td_bRC,None,,,,,,
Default,Trip 1,td_bX,None,,,,,,
Default,Trip 1,td_bXC,None,,,,,,
Default,Trip 1,td_bZ,None,,,,,,
Default,Trip 1,td_bZC,None,,,,,,
Default,Trip 1,td_blim,None,,,,,,
Default,Trip 1,td_bobj,None,,,,,,
Default,Trip 1,td_bphi,None,,,,,,
Default,Trip 1,td_bphiC,None,,,,,,
Default,Trip 1,td_bpos,None,,,,,,
Default,Trip 1,td_btpbk,None,,,,,,
Default,Trip 1,td_btrip,None,,,,,,
Default,Trip 1,td_cnt,None,,,,,,
Default,Trip 1,td_fR,None,,,,,,
Default,Trip 1,td_fRC,None,,,,,,
Default,Trip 1,td_fX,None,,,,,,
Default,Trip 1,td_fXC,None,,,,,,
Default,Trip 1,td_fZ,None,,,,,,
Default,Trip 1,td_fZC,None,,,,,,
Default,Trip 1,td_flim,None,,,,,,
Default,Trip 1,td_fobj,None,,,,,,
Default,Trip 1,td_fphi,None,,,,,,
Default,Trip 1,td_fphiC,None,,,,,,
Default,Trip 1,td_fpos,None,,,,,,
Default,Trip 1,td_ftpbk,None,,,,,,
Default,Trip 1,td_ftrip,None,,,,,,
Default,Trip 1,typ_id,None,,,,,,
Default,Trip 1,vtprim,None,,,,,,
Default,Trip 1,vtsec,None,,,,,,
Default,Trip 1,zratio,None,,,,,,
Trip 1,Protection,AttributeType,None,,,,,,
Trip 1,Protection,Ipset,None,,,,,,
Trip 1,Protection,Ipsetr,None,,,,,,
Trip 1,Protection,ModFrame,None,,,,,,
Trip 1,Protection,ResetT,None,,,,,,
Trip 1,Protection,Tadder,Protection/Detection Settings/Protection Group A/Trip 1 Settings/,Trip 1 Phase Additional,use_setting,None,,,
Trip 1,Protection,Tpset,Protection/Detection Settings/Protection Group A/Trip 1 Settings/,Trip 1 Phase Time Mult.,use_setting,None,,,
Trip 1,Protection,Trelblock,None,,,,,,
Trip 1,Protection,Tshift,None,,,,,,
Trip 1,Protection,cDisplayName,None,,,,,,
Trip 1,Protection,cResetT,None,,,,,,
Trip 1,Protection,cTadder,None,,,,,,
Trip 1,Protection,cUserDefIndex,None,,,,,,
Trip 1,Protection,c_sfansi,None,,,,,,
Trip 1,Protection,c_sfiec,None,,,,,,
Trip 1,Protection,c_type,None,,,,,,
Trip 1,Protection,calcuse,None,,,,,,
Trip 1,Protection,charact,None,,,,,,
Trip 1,Protection,chr_name,None,,,,,,
Trip 1,Protection,ciDist,None,,,,,,
Trip 1,Protection,ciDistAll,None,,,,,,
Trip 1,Protection,ciDistAllRoot,None,,,,,,
Trip 1,Protection,ciDistRoot,None,,,,,,
Trip 1,Protection,ciEarthed,None,,,,,,
Trip 1,Protection,ciEnergized,None,,,,,,
Trip 1,Protection,ciLater,None,,,,,,
Trip 1,Protection,ciOutaged,None,,,,,,
Trip 1,Protection,cminresptime,None,,,,,,
Trip 1,Protection,cpArea,None,,,,,,
Trip 1,Protection,cpBranch,None,,,,,,
Trip 1,Protection,cpFeed,None,,,,,,
Trip 1,Protection,cpGrid,None,,,,,,
Trip 1,Protection,cpHeadFold,None,,,,,,
Trip 1,Protection,cpMeteostat,None,,,,,,
Trip 1,Protection,cpOperator,None,,,,,,
Trip 1,Protection,cpOwner,None,,,,,,
Trip 1,Protection,cpSite,None,,,,,,
Trip 1,Protection,cpSubstat,None,,,,,,
Trip 1,Protection,cpSupplySubstation,None,,,,,,
Trip 1,Protection,cpSupplyTransformer,None,,,,,,
