FOLDER,ELEMENT,ATTRIBUTE,,,,,,,,
default,Dir I>>,ciEarthed,None,,,,,,,
default,Dir I>>,ciEnergized,None,,,,,,,
default,Dir I>>,ciLater,None,,,,,,,
default,Dir I>>,ciOutaged,None,,,,,,,
default,Dir I>>,cpArea,None,,,,,,,
default,Dir I>>,cpBranch,None,,,,,,,
default,Dir I>>,cpFeed,None,,,,,,,
default,Dir I>>,cpGrid,None,,,,,,,
default,Dir I>>,cpHeadFold,None,,,,,,,
default,Dir I>>,cpMeteostat,None,,,,,,,
default,Dir I>>,cpOperator,None,,,,,,,
default,Dir I>>,cpOwner,None,,,,,,,
default,Dir I>>,cpSite,None,,,,,,,
default,Dir I>>,cpSubstat,None,,,,,,,
default,Dir I>>,cpSupplySubstation,None,,,,,,,
default,Dir I>>,cpSupplyTransformer,None,,,,,,,
default,Dir I>>,cpSupplyTrfStation,None,,,,,,,
default,Dir I>>,cpZone,None,,,,,,,
default,Dir I>>,cpcpolc,None,,,,,,,
default,Dir I>>,cpcuropc,None,,,,,,,
default,Dir I>>,cpcuropu,None,,,,,,,
default,Dir I>>,cpolc,None,,,,,,,
default,Dir I>>,cpolcr,None,,,,,,,
default,Dir I>>,cpupolu,None,,,,,,,
default,Dir I>>,curopc,None,,,,,,,
default,Dir I>>,curopcr,None,,,,,,,
default,Dir I>>,curopu,None,,,,,,,
default,Dir I>>,curopur,None,,,,,,,
default,Dir I>>,dat_src,None,,,,,,,
default,Dir I>>,dataExtUnit,None,,,,,,,
default,Dir I>>,fold_id,None,,,,,,,
default,Dir I>>,for_name,None,,,,,,,
default,Dir I>>,gnrl_modby,None,,,,,,,
default,Dir I>>,gnrl_modif,None,,,,,,,
default,Dir I>>,iSchemeStatus,None,,,,,,,
default,Dir I>>,icosphi,None,,,,,,,
default,Dir I>>,idir,None,,,,,,,
default,Dir I>>,idpol,None,,,,,,,
default,Dir I>>,imeasure,None,,,,,,,
default,Dir I>>,loc_name,None,,,,,,,
default,Dir I>>,mtac,None,,,,,,,
default,Dir I>>,mtau,None,,,,,,,
default,Dir I>>,outserv,OFF,,,,,,,
default,Dir I>>,phisec,None,,,,,,,
default,Dir I>>,prodc,None,,,,,,,
