FOLDER,ELEMENT,ATTRIBUTE,,,,,,,
Default,Reclosing Element,crecltime1,None,,,,,,
Default,Reclosing Element,crecltime11ph,None,,,,,,
Default,Reclosing Element,crecltime2,None,,,,,,
Default,Reclosing Element,crecltime3,None,,,,,,
Default,Reclosing Element,crecltime4,None,,,,,,
Default,Reclosing Element,crecltime5,None,,,,,,
Default,Reclosing Element,cresettime,None,,,,,,
Default,Reclosing Element,dat_src,None,,,,,,
Default,Reclosing Element,dataExtUnit,None,,,,,,
Default,Reclosing Element,fasttripdisabl,None,,,,,,
Default,Reclosing Element,fasttripdislock,None,,,,,,
Default,Reclosing Element,fold_id,None,,,,,,
Default,Reclosing Element,for_name,None,,,,,,
Default,Reclosing Element,gnrl_modby,None,,,,,,
Default,Reclosing Element,gnrl_modif,None,,,,,,
Default,Reclosing Element,groundtripprec,None,,,,,,
Default,Reclosing Element,grtripblock,None,,,,,,
Default,Reclosing Element,hcl1active,None,,,,,,
Default,Reclosing Element,hcl2active,None,,,,,,
Default,Reclosing Element,hcl3active,None,,,,,,
Default,Reclosing Element,hcl4active,None,,,,,,
Default,Reclosing Element,hctrip1enable,None,,,,,,
Default,Reclosing Element,hctrip2enable,None,,,,,,
Default,Reclosing Element,hctrip3enable,None,,,,,,
Default,Reclosing Element,hctrip4enable,None,,,,,,
Default,Reclosing Element,hctrip5enable,None,,,,,,
Default,Reclosing Element,iSchemeStatus,None,,,,,,
Default,Reclosing Element,ilogic,None,,,,,,
Default,Reclosing Element,loc_name,None,,,,,,
Default,Reclosing Element,maxseqcpsno,None,,,,,,
Default,Reclosing Element,operationmode,None,,,,,,
Default,Reclosing Element,oplockout,Protection/Group1/AutoReclose/RecloseTimes/,NumberofTrips,use_setting,None,,,
Default,Reclosing Element,outserv,ON,,,,,,
Default,Reclosing Element,reclnotactive,None,,,,,,
Default,Reclosing Element,recltime1,Protection/Group1/AutoReclose/RecloseTimes/,FirstRecloseTime,use_setting,None,,,
Default,Reclosing Element,recltime11ph,None,,,,,,
Default,Reclosing Element,recltime2,Protection/Group1/AutoReclose/RecloseTimes/,SecondRecloseTime,use_setting,None,,,
Default,Reclosing Element,recltime3,Protection/Group1/AutoReclose/RecloseTimes/,ThirdRecloseTime,use_setting,None,,,
Default,Reclosing Element,recltime4,None,,,,,,
Default,Reclosing Element,recltime5,None,,,,,,
Default,Reclosing Element,resettime,Protection/Group1/AutoReclose/RecloseTimes/,ResetTime,use_setting,None,,,
Default,Reclosing Element,root_id,None,,,,,,
Default,Reclosing Element,seqaccessory,None,,,,,,
Default,Reclosing Element,starttimeframe,None,,,,,,
Default,Reclosing Element,typ_id,None,,,,,,
Default,Tripping Element_dip,y1,None,,,,,,
Default,Tripping Element_dip,y2,None,,,,,,
Default,Tripping Element_dip,y3,None,,,,,,
Default,Tripping Element,AttributeType,None,,,,,,
Default,Tripping Element,aDipset,None,,,,,,
Default,Tripping Element,cDisplayName,None,,,,,,
Default,Tripping Element,cUserDefIndex,None,,,,,,
Default,Tripping Element,charact,None,,,,,,
Default,Tripping Element,chr_name,None,,,,,,
Default,Tripping Element,ciDist,None,,,,,,
Default,Tripping Element,ciDistAll,None,,,,,,
Default,Tripping Element,ciDistAllRoot,None,,,,,,
Default,Tripping Element,ciDistRoot,None,,,,,,
Default,Tripping Element,ciEarthed,None,,,,,,
Default,Tripping Element,ciEnergized,None,,,,,,
Default,Tripping Element,ciLater,None,,,,,,
Default,Tripping Element,ciOutaged,None,,,,,,
Default,Tripping Element,cpArea,None,,,,,,
Default,Tripping Element,cpBranch,None,,,,,,
Default,Tripping Element,cpFeed,None,,,,,,
Default,Tripping Element,cpGrid,None,,,,,,
Default,Tripping Element,cpHeadFold,None,,,,,,
Default,Tripping Element,cpMeteostat,None,,,,,,
Default,Tripping Element,cpOperator,None,,,,,,
Default,Tripping Element,cpOwner,None,,,,,,
Default,Tripping Element,cpSite,None,,,,,,
Default,Tripping Element,cpSubstat,None,,,,,,
Default,Tripping Element,cpSupplySubstation,None,,,,,,
Default,Tripping Element,cpSupplyTransformer,None,,,,,,
Default,Tripping Element,cpSupplyTrfStation,None,,,,,,
Default,Tripping Element,cpZone,None,,,,,,
Default,Tripping Element,dat_src,None,,,,,,
Default,Tripping Element,dataExtUnit,None,,,,,,
Default,Tripping Element,fold_id,None,,,,,,
Default,Tripping Element,for_name,None,,,,,,
Default,Tripping Element,gnrl_modby,None,,,,,,
Default,Tripping Element,gnrl_modif,None,,,,,,
Default,Tripping Element,iSchemeStatus,None,,,,,,
Default,Tripping Element,iout,None,,,,,,
Default,Tripping Element,loc_name,None,,,,,,
Default,Tripping Element,outserv,ON,,,,,,
Default,Tripping Element,pSwitch,None,,,,,,
Default,Tripping Element,root_id,None,,,,,,
Default,Tripping Element,sLogic,None,,,,,,
Default,Tripping Element,sTripsig,None,,,,,,
Default,Tripping Element,typ_id,None,,,,,,
Default,Closing Element,AttributeType,None,,,,,,
Default,Closing Element,cDisplayName,None,,,,,,
Default,Closing Element,cUserDefIndex,None,,,,,,
Default,Closing Element,charact,None,,,,,,
Default,Closing Element,chr_name,None,,,,,,
Default,Closing Element,ciDist,None,,,,,,
Default,Closing Element,ciDistAll,None,,,,,,
Default,Closing Element,ciDistAllRoot,None,,,,,,
Default,Closing Element,ciDistRoot,None,,,,,,
Default,Closing Element,ciEarthed,None,,,,,,
Default,Closing Element,ciEnergized,None,,,,,,
Default,Closing Element,ciLater,None,,,,,,
Default,Closing Element,ciOutaged,None,,,,,,
Default,Closing Element,cpArea,None,,,,,,
Default,Closing Element,cpBranch,None,,,,,,
Default,Closing Element,cpFeed,None,,,,,,
Default,Closing Element,cpGrid,None,,,,,,
Default,Closing Element,cpHeadFold,None,,,,,,
Default,Closing Element,cpMeteostat,None,,,,,,
Default,Closing Element,cpOperator,None,,,,,,
Default,Closing Element,cpOwner,None,,,,,,
Default,Closing Element,cpSite,None,,,,,,
Default,Closing Element,cpSubstat,None,,,,,,
Default,Closing Element,cpSupplySubstation,None,,,,,,
Default,Closing Element,cpSupplyTransformer,None,,,,,,
Default,Closing Element,cpSupplyTrfStation,None,,,,,,
Default,Closing Element,cpZone,None,,,,,,
