FOLDER,ELEMENT,ATTRIBUTE,,,,,,,,
default,Reclosing,ciDistAllRoot,None,,,,,,,
default,Reclosing,ciDistRoot,None,,,,,,,
default,Reclosing,ciEarthed,None,,,,,,,
default,Reclosing,ciEnergized,None,,,,,,,
default,Reclosing,ciLater,None,,,,,,,
default,Reclosing,ciOutaged,None,,,,,,,
default,Reclosing,clactivationt,None,,,,,,,
default,Reclosing,clenable,None,,,,,,,
default,Reclosing,closingcomtime,None,,,,,,,
default,Reclosing,clrecloseinterval,None,,,,,,,
default,Reclosing,cltripstolockout,None,,,,,,,
default,Reclosing,cpArea,None,,,,,,,
default,Reclosing,cpBranch,None,,,,,,,
default,Reclosing,cpFeed,None,,,,,,,
default,Reclosing,cpGrid,None,,,,,,,
default,Reclosing,cpHeadFold,None,,,,,,,
default,Reclosing,cpMeteostat,None,,,,,,,
default,Reclosing,cpOperator,None,,,,,,,
default,Reclosing,cpOwner,None,,,,,,,
default,Reclosing,cpSite,None,,,,,,,
default,Reclosing,cpSubstat,None,,,,,,,
default,Reclosing,cpSupplySubstation,None,,,,,,,
default,Reclosing,cpSupplyTransformer,None,,,,,,,
default,Reclosing,cpSupplyTrfStation,None,,,,,,,
default,Reclosing,cpZone,None,,,,,,,
default,Reclosing,crecltime1,None,,,,,,,
default,Reclosing,crecltime11ph,None,,,,,,,
default,Reclosing,crecltime2,None,,,,,,,
default,Reclosing,crecltime3,None,,,,,,,
default,Reclosing,crecltime4,None,,,,,,,
default,Reclosing,crecltime5,None,,,,,,,
default,Reclosing,cresettime,None,,,,,,,
default,Reclosing,dat_src,None,,,,,,,
default,Reclosing,dataExtUnit,None,,,,,,,
default,Reclosing,fasttripdisabl,None,,,,,,,
default,Reclosing,fasttripdislock,None,,,,,,,
default,Reclosing,fold_id,None,,,,,,,
default,Reclosing,for_name,None,,,,,,,
default,Reclosing,gnrl_modby,None,,,,,,,
default,Reclosing,gnrl_modif,None,,,,,,,
default,Reclosing,groundtripprec,None,,,,,,,
default,Reclosing,grtripblock,None,,,,,,,
default,Reclosing,hcl1active,None,,,,,,,
default,Reclosing,hcl2active,None,,,,,,,
default,Reclosing,hcl3active,None,,,,,,,
default,Reclosing,hcl4active,None,,,,,,,
default,Reclosing,hctrip1enable,None,,,,,,,
default,Reclosing,hctrip2enable,None,,,,,,,
default,Reclosing,hctrip3enable,None,,,,,,,
default,Reclosing,hctrip4enable,None,,,,,,,
default,Reclosing,hctrip5enable,None,,,,,,,
default,Reclosing,iSchemeStatus,None,,,,,,,
default,Reclosing,ilogic,None,,,,,,,
default,Reclosing,loc_name,None,,,,,,,
default,Reclosing,maxseqcpsno,None,,,,,,,
default,Reclosing,operationmode,None,,,,,,,
default,Reclosing,oplockout,PROTECTION G1/[79] AUTORECLOSE/,281,use_setting,+,1,,,
default,Reclosing,outserv,ON,,,,,,,
default,Reclosing,reclnotactive,PROTECTION G1/[79] AUTORECLOSE/,270,use_setting,No,,,,
default,Reclosing,recltime1,PROTECTION G1/[79] AUTORECLOSE/,277,use_setting,None,,,,
default,Reclosing,recltime11ph,None,,,,,,,
default,Reclosing,recltime2,PROTECTION G1/[79] AUTORECLOSE/,278,use_setting,None,,,,
default,Reclosing,recltime3,PROTECTION G1/[79] AUTORECLOSE/,279,use_setting,None,,,,
default,Reclosing,recltime4,PROTECTION G1/[79] AUTORECLOSE/,027B,use_setting,None,,,,
default,Reclosing,recltime5,None,,,,,,,
default,Reclosing,resettime,PROTECTION G1/[79] AUTORECLOSE/,027D,use_setting,None,,,,
default,Reclosing,root_id,None,,,,,,,
default,Reclosing,seqaccessory,None,,,,,,,
default,Reclosing,starttimeframe,None,,,,,,,
default,Reclosing,typ_id,None,,,,,,,
default,I>,AttributeType,None,,,,,,,
default,I>,Ipset,PROTECTION G1/[50/51] PHASE OC/,201,use_setting,None,,,,
default,I>,Ipsetr,None,,,,,,,
default,I>,ModFrame,None,,,,,,,
default,I>,ResetT,PROTECTION G1/[50/51] PHASE OC/,209,use_setting,None,,,,
default,I>,Tadder,None,,,,,,,
default,I>,Tpset,PROTECTION G1/[50/51] PHASE OC/,204,use_setting,None,,,,
default,I>,Trelblock,None,,,,,,,
default,I>,Tshift,None,,,,,,,
default,I>,cDisplayName,None,,,,,,,
default,I>,cResetT,None,,,,,,,
default,I>,cTadder,None,,,,,,,
default,I>,cUserDefIndex,None,,,,,,,
default,I>,c_sfansi,None,,,,,,,
default,I>,c_sfiec,None,,,,,,,
default,I>,c_type,None,,,,,,,
default,I>,calcuse,None,,,,,,,
default,I>,charact,None,,,,,,,
default,I>,chr_name,None,,,,,,,
default,I>,ciDist,None,,,,,,,
default,I>,ciDistAll,None,,,,,,,
default,I>,ciDistAllRoot,None,,,,,,,
default,I>,ciDistRoot,None,,,,,,,
default,I>,ciEarthed,None,,,,,,,
default,I>,ciEnergized,None,,,,,,,
default,I>,ciLater,None,,,,,,,
default,I>,ciOutaged,None,,,,,,,
default,I>,cminresptime,None,,,,,,,
default,I>,cpArea,None,,,,,,,
default,I>,cpBranch,None,,,,,,,
default,I>,cpFeed,None,,,,,,,
default,I>,cpGrid,None,,,,,,,
default,I>,cpHeadFold,None,,,,,,,
default,I>,cpMeteostat,None,,,,,,,
default,I>,cpOperator,None,,,,,,,
default,I>,cpOwner,None,,,,,,,
default,I>,cpSite,None,,,,,,,
default,I>,cpSubstat,None,,,,,,,
default,I>,cpSupplySubstation,None,,,,,,,
default,I>,cpSupplyTransformer,None,,,,,,,
default,I>,cpSupplyTrfStation,None,,,,,,,
default,I>,cpZone,None,,,,,,,
default,I>,dat_src,None,,,,,,,
default,I>,dataExtUnit,None,,,,,,,
default,I>,fold_id,None,,,,,,,
default,I>,for_name,None,,,,,,,
default,I>,gnrl_modby,None,,,,,,,
default,I>,gnrl_modif,None,,,,,,,
default,I>,iSchemeStatus,None,,,,,,,
default,I>,iacceptblock,None,,,,,,,
default,I>,idir,None,,,,,,,
default,I>,loc_name,None,,,,,,,
default,I>,minresptime,None,,,,,,,
default,I>,outserv,PROTECTION G1/[50/51] PHASE OC/,200,use_setting,No,,,,
default,I>,pcharac,PROTECTION G1/[50/51] PHASE OC/,203,use_setting,None,,,,
default,I>,resetdis,None,,,,,,,
default,I>,root_id,None,,,,,,,
default,I>,typ_id,None,,,,,,,
default,I>,udeftmax,None,,,,,,,
default,I>,udeftmin,None,,,,,,,
default,I2>,AttributeType,None,,,,,,,
default,I2>,Ipset,PROTECTION G1/[46] NEG SEQ OC/,025D,use_setting,None,,,,
default,I2>,Ipsetr,None,,,,,,,
default,I2>,ModFrame,None,,,,,,,
default,I2>,ResetT,None,,,,,,,
default,I2>,Tadder,None,,,,,,,
default,I2>,Tpset,PROTECTION G1/[46] NEG SEQ OC/,260,use_setting,None,,,,
default,I2>,Tpset,PROTECTION G1/[46] NEG SEQ OC/,262,use_setting,None,,,,
default,I2>,Trelblock,None,,,,,,,
default,I2>,Tshift,None,,,,,,,
default,I2>,cDisplayName,None,,,,,,,
default,I2>,cResetT,None,,,,,,,
default,I2>,cTadder,None,,,,,,,
default,I2>,cUserDefIndex,None,,,,,,,
default,I2>,c_sfansi,None,,,,,,,
default,I2>,c_sfiec,None,,,,,,,
default,I2>,c_type,None,,,,,,,
default,I2>,calcuse,None,,,,,,,
default,I2>,charact,None,,,,,,,
default,I2>,chr_name,None,,,,,,,
default,I2>,ciDist,None,,,,,,,
default,I2>,ciDistAll,None,,,,,,,
