FOLDER,ELEMENT,ATTRIBUTE,,,,,,,,,
Default,Meas Delta,cpOperator,None,,,,,,,,
Default,Meas Delta,cpOwner,None,,,,,,,,
Default,Meas Delta,cpSite,None,,,,,,,,
Default,Meas Delta,cpSubstat,None,,,,,,,,
Default,Meas Delta,cpSupplySubstation,None,,,,,,,,
Default,Meas Delta,cpSupplyTransformer,None,,,,,,,,
Default,Meas Delta,cpSupplyTrfStation,None,,,,,,,,
Default,Meas Delta,cpZone,None,,,,,,,,
Default,Meas Delta,dat_src,None,,,,,,,,
Default,Meas Delta,dataExtUnit,None,,,,,,,,
Default,Meas Delta,fold_id,None,,,,,,,,
Default,Meas Delta,for_name,None,,,,,,,,
Default,Meas Delta,gnrl_modby,None,,,,,,,,
Default,Meas Delta,gnrl_modif,None,,,,,,,,
Default,Meas Delta,iSchemeStatus,None,,,,,,,,
Default,Meas Delta,iphase,None,,,,,,,,
Default,Meas Delta,loc_name,None,,,,,,,,
Default,Meas Delta,outserv,ON,,,,,,,,
Default,Meas Delta,root_id,None,,,,,,,,
Default,Meas Delta,typ_id,None,,,,,,,,
Default,Meas Neutral I,AttributeType,None,,,,,,,,
Default,Meas Neutral I,Inom,None,,,,,,,,
Default,Meas Neutral I,Is,None,,,,,,,,
Default,Meas Neutral I,Unom,None,,,,,,,,
Default,Meas Neutral I,cDisplayName,None,,,,,,,,
Default,Meas Neutral I,cUserDefIndex,None,,,,,,,,
Default,Meas Neutral I,charact,None,,,,,,,,
Default,Meas Neutral I,chr_name,None,,,,,,,,
Default,Meas Neutral I,ciDist,None,,,,,,,,
Default,Meas Neutral I,ciDistAll,None,,,,,,,,
Default,Meas Neutral I,ciDistAllRoot,None,,,,,,,,
Default,Meas Neutral I,ciDistRoot,None,,,,,,,,
Default,Meas Neutral I,ciEarthed,None,,,,,,,,
Default,Meas Neutral I,ciEnergized,None,,,,,,,,
Default,Meas Neutral I,ciLater,None,,,,,,,,
Default,Meas Neutral I,ciOutaged,None,,,,,,,,
Default,Meas Neutral I,cpArea,None,,,,,,,,
Default,Meas Neutral I,cpBranch,None,,,,,,,,
Default,Meas Neutral I,cpFeed,None,,,,,,,,
Default,Meas Neutral I,cpGrid,None,,,,,,,,
Default,Meas Neutral I,cpHeadFold,None,,,,,,,,
Default,Meas Neutral I,cpMeteostat,None,,,,,,,,
Default,Meas Neutral I,cpOperator,None,,,,,,,,
Default,Meas Neutral I,cpOwner,None,,,,,,,,
Default,Meas Neutral I,cpSite,None,,,,,,,,
Default,Meas Neutral I,cpSubstat,None,,,,,,,,
Default,Meas Neutral I,cpSupplySubstation,None,,,,,,,,
Default,Meas Neutral I,cpSupplyTransformer,None,,,,,,,,
Default,Meas Neutral I,cpSupplyTrfStation,None,,,,,,,,
Default,Meas Neutral I,cpZone,None,,,,,,,,
Default,Meas Neutral I,dat_src,None,,,,,,,,
Default,Meas Neutral I,dataExtUnit,None,,,,,,,,
Default,Meas Neutral I,fold_id,None,,,,,,,,
Default,Meas Neutral I,for_name,None,,,,,,,,
Default,Meas Neutral I,gnrl_modby,None,,,,,,,,
Default,Meas Neutral I,gnrl_modif,None,,,,,,,,
Default,Meas Neutral I,iSchemeStatus,None,,,,,,,,
Default,Meas Neutral I,iphase,None,,,,,,,,
Default,Meas Neutral I,loc_name,None,,,,,,,,
Default,Meas Neutral I,outserv,ON,,,,,,,,
Default,Meas Neutral I,root_id,None,,,,,,,,
Default,Meas Neutral I,typ_id,None,,,,,,,,
Default,Measurement Seq,AttributeType,None,,,,,,,,
Default,Measurement Seq,Inom,None,,,,,,,,
Default,Measurement Seq,Is,None,,,,,,,,
Default,Measurement Seq,Unom,None,,,,,,,,
Default,Measurement Seq,cDisplayName,None,,,,,,,,
Default,Measurement Seq,cUserDefIndex,None,,,,,,,,
Default,Measurement Seq,charact,None,,,,,,,,
Default,Measurement Seq,chr_name,None,,,,,,,,
Default,Measurement Seq,ciDist,None,,,,,,,,
Default,Measurement Seq,ciDistAll,None,,,,,,,,
Default,Measurement Seq,ciDistAllRoot,None,,,,,,,,
Default,Measurement Seq,ciDistRoot,None,,,,,,,,
Default,Measurement Seq,ciEarthed,None,,,,,,,,
Default,Measurement Seq,ciEnergized,None,,,,,,,,
Default,Measurement Seq,ciLater,None,,,,,,,,
Default,Measurement Seq,ciOutaged,None,,,,,,,,
Default,Measurement Seq,cpArea,None,,,,,,,,
Default,Measurement Seq,cpBranch,None,,,,,,,,
Default,Measurement Seq,cpFeed,None,,,,,,,,
Default,Measurement Seq,cpGrid,None,,,,,,,,
Default,Measurement Seq,cpHeadFold,None,,,,,,,,
Default,Measurement Seq,cpMeteostat,None,,,,,,,,
Default,Measurement Seq,cpOperator,None,,,,,,,,
Default,Measurement Seq,cpOwner,None,,,,,,,,
Default,Measurement Seq,cpSite,None,,,,,,,,
Default,Measurement Seq,cpSubstat,None,,,,,,,,
Default,Measurement Seq,cpSupplySubstation,None,,,,,,,,
Default,Measurement Seq,cpSupplyTransformer,None,,,,,,,,
Default,Measurement Seq,cpSupplyTrfStation,None,,,,,,,,
Default,Measurement Seq,cpZone,None,,,,,,,,
Default,Measurement Seq,dat_src,None,,,,,,,,
Default,Measurement Seq,dataExtUnit,None,,,,,,,,
Default,Measurement Seq,fold_id,None,,,,,,,,
Default,Measurement Seq,for_name,None,,,,,,,,
