FOLDER,ELEMENT,ATTRIBUTE,,,,,,,
Default,Closing Element,gnrl_modby,None,,,,,,
Default,Closing Element,gnrl_modif,None,,,,,,
Default,Closing Element,iSchemeStatus,None,,,,,,
Default,Closing Element,iout,None,,,,,,
Default,Closing Element,loc_name,None,,,,,,
Default,Closing Element,outserv,ON,,,,,,
Default,Closing Element,pSwitch,None,,,,,,
Default,Closing Element,root_id,None,,,,,,
Default,Closing Element,typ_id,None,,,,,,
Default,Phase Trip Current,AttributeType,None,,,,,,
Default,Phase Trip Current,Ipset,None,,,,,,
Default,Phase Trip Current,Ipsetr,Protection/Detection Settings/Protection Group A/,Phase Trip Current,use_setting,None,,,
Default,Phase Trip Current,Trelblock,None,,,,,,
Default,Phase Trip Current,Tset,None,,,,,,
Default,Phase Trip Current,cDisplayName,None,,,,,,
Default,Phase Trip Current,cTset,None,,,,,,
Default,Phase Trip Current,cUserDefIndex,None,,,,,,
Default,Phase Trip Current,c_sfansi,None,,,,,,
Default,Phase Trip Current,c_sfiec,None,,,,,,
Default,Phase Trip Current,c_type,None,,,,,,
Default,Phase Trip Current,calcuse,None,,,,,,
Default,Phase Trip Current,charact,None,,,,,,
Default,Phase Trip Current,chr_name,None,,,,,,
Default,Phase Trip Current,ciDist,None,,,,,,
Default,Phase Trip Current,ciDistAll,None,,,,,,
Default,Phase Trip Current,ciDistAllRoot,None,,,,,,
Default,Phase Trip Current,ciDistRoot,None,,,,,,
Default,Phase Trip Current,ciEarthed,None,,,,,,
Default,Phase Trip Current,ciEnergized,None,,,,,,
Default,Phase Trip Current,ciLater,None,,,,,,
Default,Phase Trip Current,ciOutaged,None,,,,,,
Default,Phase Trip Current,cpArea,None,,,,,,
Default,Phase Trip Current,cpBranch,None,,,,,,
Default,Phase Trip Current,cpFeed,None,,,,,,
Default,Phase Trip Current,cpGrid,None,,,,,,
Default,Phase Trip Current,cpHeadFold,None,,,,,,
Default,Phase Trip Current,cpMeteostat,None,,,,,,
Default,Phase Trip Current,cpOperator,None,,,,,,
Default,Phase Trip Current,cpOwner,None,,,,,,
Default,Phase Trip Current,cpSite,None,,,,,,
Default,Phase Trip Current,cpSubstat,None,,,,,,
Default,Phase Trip Current,cpSupplySubstation,None,,,,,,
Default,Phase Trip Current,cpSupplyTransformer,None,,,,,,
Default,Phase Trip Current,cpSupplyTrfStation,None,,,,,,
Default,Phase Trip Current,cpZone,None,,,,,,
Default,Phase Trip Current,cptotime,None,,,,,,
Default,Phase Trip Current,dat_src,None,,,,,,
Default,Phase Trip Current,dataExtUnit,None,,,,,,
Default,Phase Trip Current,fold_id,None,,,,,,
Default,Phase Trip Current,for_name,None,,,,,,
Default,Phase Trip Current,gnrl_modby,None,,,,,,
Default,Phase Trip Current,gnrl_modif,None,,,,,,
Default,Phase Trip Current,iSchemeStatus,None,,,,,,
Default,Phase Trip Current,iacceptblock,None,,,,,,
Default,Phase Trip Current,idir,None,,,,,,
Default,Phase Trip Current,loc_name,None,,,,,,
Default,Phase Trip Current,outserv,ON,,,,,,
Default,Phase Trip Current,root_id,None,,,,,,
Default,Phase Trip Current,typ_id,None,,,,,,
Default,Earth Trip Current,AttributeType,None,,,,,,
Default,Earth Trip Current,Ipset,None,,,,,,
Default,Earth Trip Current,Ipsetr,Protection/Detection Settings/Protection Group A/,Earth Trip Current,use_setting,None,,,
Default,Earth Trip Current,Trelblock,None,,,,,,
Default,Earth Trip Current,Tset,None,,,,,,
Default,Earth Trip Current,cDisplayName,None,,,,,,
Default,Earth Trip Current,cTset,None,,,,,,
Default,Earth Trip Current,cUserDefIndex,None,,,,,,
Default,Earth Trip Current,c_sfansi,None,,,,,,
Default,Earth Trip Current,c_sfiec,None,,,,,,
Default,Earth Trip Current,c_type,None,,,,,,
Default,Earth Trip Current,calcuse,None,,,,,,
Default,Earth Trip Current,charact,None,,,,,,
Default,Earth Trip Current,chr_name,None,,,,,,
Default,Earth Trip Current,ciDist,None,,,,,,
Default,Earth Trip Current,ciDistAll,None,,,,,,
Default,Earth Trip Current,ciDistAllRoot,None,,,,,,
Default,Earth Trip Current,ciDistRoot,None,,,,,,
Default,Earth Trip Current,ciEarthed,None,,,,,,
Default,Earth Trip Current,ciEnergized,None,,,,,,
Default,Earth Trip Current,ciLater,None,,,,,,
Default,Earth Trip Current,ciOutaged,None,,,,,,
Default,Earth Trip Current,cpArea,None,,,,,,
Default,Earth Trip Current,cpBranch,None,,,,,,
Default,Earth Trip Current,cpFeed,None,,,,,,
Default,Earth Trip Current,cpGrid,None,,,,,,
Default,Earth Trip Current,cpHeadFold,None,,,,,,
Default,Earth Trip Current,cpMeteostat,None,,,,,,
Default,Earth Trip Current,cpOperator,None,,,,,,
Default,Earth Trip Current,cpOwner,None,,,,,,
Default,Earth Trip Current,cpSite,None,,,,,,
Default,Earth Trip Current,cpSubstat,None,,,,,,
Default,Earth Trip Current,cpSupplySubstation,None,,,,,,
Default,Earth Trip Current,cpSupplyTransformer,None,,,,,,
Default,Earth Trip Current,cpSupplyTrfStation,None,,,,,,
Default,Earth Trip Current,cpZone,None,,,,,,
Default,Earth Trip Current,cptotime,None,,,,,,
Default,Earth Trip Current,dat_src,None,,,,,,
Default,Earth Trip Current,dataExtUnit,None,,,,,,
Default,Earth Trip Current,fold_id,None,,,,,,
Default,Earth Trip Current,for_name,None,,,,,,
Default,Earth Trip Current,gnrl_modby,None,,,,,,
Default,Earth Trip Current,gnrl_modif,None,,,,,,
Default,Earth Trip Current,iSchemeStatus,None,,,,,,
Default,Earth Trip Current,iacceptblock,None,,,,,,
Default,Earth Trip Current,idir,None,,,,,,
Default,Earth Trip Current,loc_name,None,,,,,,
Default,Earth Trip Current,outserv,ON,,,,,,
Default,Earth Trip Current,root_id,None,,,,,,
Default,Earth Trip Current,typ_id,None,,,,,,
Default,SEF,AttributeType,None,,,,,,
Default,SEF,Ipset,None,,,,,,
Default,SEF,Ipsetr,Protection/Detection Settings/Protection Group A/,SEF Trip Current,use_setting,None,,,
Default,SEF,Trelblock,None,,,,,,
Default,SEF,Tset,None,,,,,,
Default,SEF,cDisplayName,None,,,,,,
Default,SEF,cTset,None,,,,,,
Default,SEF,cUserDefIndex,None,,,,,,
Default,SEF,c_sfansi,None,,,,,,
Default,SEF,c_sfiec,None,,,,,,
Default,SEF,c_type,None,,,,,,
Default,SEF,calcuse,None,,,,,,
Default,SEF,charact,None,,,,,,
Default,SEF,chr_name,None,,,,,,
Default,SEF,ciDist,None,,,,,,
Default,SEF,ciDistAll,None,,,,,,
Default,SEF,ciDistAllRoot,None,,,,,,
Default,SEF,ciDistRoot,None,,,,,,
Default,SEF,ciEarthed,None,,,,,,
Default,SEF,ciEnergized,None,,,,,,
Default,SEF,ciLater,None,,,,,,
Default,SEF,ciOutaged,None,,,,,,
Default,SEF,cpArea,None,,,,,,
Default,SEF,cpBranch,None,,,,,,
Default,SEF,cpFeed,None,,,,,,
Default,SEF,cpGrid,None,,,,,,
Default,SEF,cpHeadFold,None,,,,,,
Default,SEF,cpMeteostat,None,,,,,,
Default,SEF,cpOperator,None,,,,,,
Default,SEF,cpOwner,None,,,,,,
Default,SEF,cpSite,None,,,,,,
Default,SEF,cpSubstat,None,,,,,,
Default,SEF,cpSupplySubstation,None,,,,,,
Default,SEF,cpSupplyTransformer,None,,,,,,
Default,SEF,cpSupplyTrfStation,None,,,,,,
Default,SEF,cpZone,None,,,,,,
Default,SEF,cptotime,None,,,,,,
Default,SEF,dat_src,None,,,,,,
Default,SEF,dataExtUnit,None,,,,,,
Default,SEF,fold_id,None,,,,,,
Default,SEF,for_name,None,,,,,,
Default,SEF,gnrl_modby,None,,,,,,
Default,SEF,gnrl_modif,None,,,,,,
Default,SEF,iSchemeStatus,None,,,,,,
Default,SEF,iacceptblock,None,,,,,,
Default,SEF,idir,None,,,,,,
Default,SEF,loc_name,None,,,,,,
Default,SEF,outserv,ON,,,,,,
Default,SEF,root_id,None,,,,,,
Default,SEF,typ_id,None,,,,,,
Default,NPS Trip Current,AttributeType,None,,,,,,
Default,NPS Trip Current,Ipset,None,,,,,,
Default,NPS Trip Current,Ipsetr,Protection/Detection Settings/Protection Group A/,Negative Phase Sequence Trip Current,use_setting,None,,,
Default,NPS Trip Current,Trelblock,None,,,,,,
Default,NPS Trip Current,Tset,None,,,,,,
Default,NPS Trip Current,cDisplayName,None,,,,,,
Default,NPS Trip Current,cTset,None,,,,,,
Default,NPS Trip Current,cUserDefIndex,None,,,,,,
Default,NPS Trip Current,c_sfansi,None,,,,,,
Default,NPS Trip Current,c_sfiec,None,,,,,,
Default,NPS Trip Current,c_type,None,,,,,,
Default,NPS Trip Current,calcuse,None,,,,,,
Default,NPS Trip Current,charact,None,,,,,,
Default,NPS Trip Current,chr_name,None,,,,,,
Default,NPS Trip Current,ciDist,None,,,,,,
Default,NPS Trip Current,ciDistAll,None,,,,,,
Default,NPS Trip Current,ciDistAllRoot,None,,,,,,
Default,NPS Trip Current,ciDistRoot,None,,,,,,
Default,NPS Trip Current,ciEarthed,None,,,,,,
Default,NPS Trip Current,ciEnergized,None,,,,,,
Default,NPS Trip Current,ciLater,None,,,,,,
Default,NPS Trip Current,ciOutaged,None,,,,,,
Default,NPS Trip Current,cpArea,None,,,,,,
Default,NPS Trip Current,cpBranch,None,,,,,,
Default,NPS Trip Current,cpFeed,None,,,,,,
Default,NPS Trip Current,cpGrid,None,,,,,,
Default,NPS Trip Current,cpHeadFold,None,,,,,,
Default,NPS Trip Current,cpMeteostat,None,,,,,,
Default,NPS Trip Current,cpOperator,None,,,,,,
Default,NPS Trip Current,cpOwner,None,,,,,,
Default,NPS Trip Current,cpSite,None,,,,,,
Default,NPS Trip Current,cpSubstat,None,,,,,,
Default,NPS Trip Current,cpSupplySubstation,None,,,,,,
Default,NPS Trip Current,cpSupplyTransformer,None,,,,,,
Default,NPS Trip Current,cpSupplyTrfStation,None,,,,,,
Default,NPS Trip Current,cpZone,None,,,,,,
Default,NPS Trip Current,cptotime,None,,,,,,
Default,NPS Trip Current,dat_src,None,,,,,,
Default,NPS Trip Current,dataExtUnit,None,,,,,,
Default,NPS Trip Current,fold_id,None,,,,,,
Default,NPS Trip Current,for_name,None,,,,,,
Default,NPS Trip Current,gnrl_modby,None,,,,,,
Default,NPS Trip Current,gnrl_modif,None,,,,,,
Default,NPS Trip Current,iSchemeStatus,None,,,,,,
Default,NPS Trip Current,iacceptblock,None,,,,,,
Default,NPS Trip Current,idir,None,,,,,,
Default,NPS Trip Current,loc_name,None,,,,,,
Default,NPS Trip Current,outserv,ON,,,,,,
Default,NPS Trip Current,root_id,None,,,,,,
Default,NPS Trip Current,typ_id,None,,,,,,
Default,Phase Threshold Mult.,AttributeType,None,,,,,,
Default,Phase Threshold Mult.,Ipset,Protection/Detection Settings/Protection Group A/,Phase Threshold Current Multiplier,use_setting,None,,,
Default,Phase Threshold Mult.,Ipsetr,None,,,,,,
Default,Phase Threshold Mult.,Trelblock,None,,,,,,
Default,Phase Threshold Mult.,Tset,None,,,,,,
Default,Phase Threshold Mult.,cDisplayName,None,,,,,,
Default,Phase Threshold Mult.,cTset,None,,,,,,
Default,Phase Threshold Mult.,cUserDefIndex,None,,,,,,
Default,Phase Threshold Mult.,c_sfansi,None,,,,,,
Default,Phase Threshold Mult.,c_sfiec,None,,,,,,
Default,Phase Threshold Mult.,c_type,None,,,,,,
Default,Phase Threshold Mult.,calcuse,None,,,,,,
Default,Phase Threshold Mult.,charact,None,,,,,,
Default,Phase Threshold Mult.,chr_name,None,,,,,,
Default,Phase Threshold Mult.,ciDist,None,,,,,,
Default,Phase Threshold Mult.,ciDistAll,None,,,,,,
