FOLDER,ELEMENT,ATTRIBUTE,,,,,,,,
default,Measure Seq,iphase,None,,,,,,,
default,Measure Seq,loc_name,None,,,,,,,
default,Measure Seq,outserv,ON,,,,,,,
default,Measure Seq,root_id,None,,,,,,,
default,Measure Seq,typ_id,None,,,,,,,
default,Meas Freq,AttributeType,None,,,,,,,
default,Meas Freq,Tfe,None,,,,,,,
default,Meas Freq,Unom,None,,,,,,,
default,Meas Freq,cDisplayName,None,,,,,,,
default,Meas Freq,cUserDefIndex,None,,,,,,,
default,Meas Freq,charact,None,,,,,,,
default,Meas Freq,chr_name,None,,,,,,,
default,Meas Freq,ciDist,None,,,,,,,
default,Meas Freq,ciDistAll,None,,,,,,,
default,Meas Freq,ciDistAllRoot,None,,,,,,,
default,Meas Freq,ciDistRoot,None,,,,,,,
default,Meas Freq,ciEarthed,None,,,,,,,
default,Meas Freq,ciEnergized,None,,,,,,,
default,Meas Freq,ciLater,None,,,,,,,
default,Meas Freq,ciOutaged,None,,,,,,,
default,Meas Freq,cpArea,None,,,,,,,
default,Meas Freq,cpBranch,None,,,,,,,
default,Meas Freq,cpFeed,None,,,,,,,
default,Meas Freq,cpGrid,None,,,,,,,
default,Meas Freq,cpHeadFold,None,,,,,,,
default,Meas Freq,cpMeteostat,None,,,,,,,
default,Meas Freq,cpOperator,None,,,,,,,
default,Meas Freq,cpOwner,None,,,,,,,
default,Meas Freq,cpSite,None,,,,,,,
default,Meas Freq,cpSubstat,None,,,,,,,
default,Meas Freq,cpSupplySubstation,None,,,,,,,
default,Meas Freq,cpSupplyTransformer,None,,,,,,,
default,Meas Freq,cpSupplyTrfStation,None,,,,,,,
default,Meas Freq,cpZone,None,,,,,,,
default,Meas Freq,dat_src,None,,,,,,,
default,Meas Freq,dataExtUnit,None,,,,,,,
default,Meas Freq,fold_id,None,,,,,,,
default,Meas Freq,for_name,None,,,,,,,
default,Meas Freq,gnrl_modby,None,,,,,,,
default,Meas Freq,gnrl_modif,None,,,,,,,
default,Meas Freq,iSchemeStatus,None,,,,,,,
default,Meas Freq,imeasv,None,,,,,,,
default,Meas Freq,loc_name,None,,,,,,,
default,Meas Freq,outserv,ON,,,,,,,
default,Meas Freq,root_id,None,,,,,,,
default,Meas Freq,typ_id,None,,,,,,,
default,Reclosing_logic,Inverse block,Group 1/49 - GROUP 1 AUTORECLOSE/,4902,use_setting,+,1,ALL,None,None
default,Reclosing_logic,Inst block,Group 1/49 - GROUP 1 AUTORECLOSE/,4902,use_setting,+,1,ALL,None,None
default,Reclosing,AttributeType,None,,,,,,,
default,Reclosing,SEFtripblock,None,,,,,,,
default,Reclosing,SEFtriptolock,None,,,,,,,
default,Reclosing,TCC1op,None,,,,,,,
default,Reclosing,cDisplayName,None,,,,,,,
default,Reclosing,cUserDefIndex,None,,,,,,,
default,Reclosing,c_type,None,,,,,,,
default,Reclosing,cclactivationt,None,,,,,,,
default,Reclosing,cclosingcomtime,None,,,,,,,
default,Reclosing,cclrecloseinterval,None,,,,,,,
default,Reclosing,charact,None,,,,,,,
default,Reclosing,chr_name,None,,,,,,,
default,Reclosing,ciDist,None,,,,,,,
default,Reclosing,ciDistAll,None,,,,,,,
default,Reclosing,ciDistAllRoot,None,,,,,,,
default,Reclosing,ciDistRoot,None,,,,,,,
default,Reclosing,ciEarthed,None,,,,,,,
default,Reclosing,ciEnergized,None,,,,,,,
default,Reclosing,ciLater,None,,,,,,,
default,Reclosing,ciOutaged,None,,,,,,,
default,Reclosing,clactivationt,None,,,,,,,
default,Reclosing,clenable,None,,,,,,,
default,Reclosing,closingcomtime,None,,,,,,,
default,Reclosing,clrecloseinterval,None,,,,,,,
default,Reclosing,cltripstolockout,None,,,,,,,
default,Reclosing,cpArea,None,,,,,,,
default,Reclosing,cpBranch,None,,,,,,,
default,Reclosing,cpFeed,None,,,,,,,
default,Reclosing,cpGrid,None,,,,,,,
default,Reclosing,cpHeadFold,None,,,,,,,
default,Reclosing,cpMeteostat,None,,,,,,,
default,Reclosing,cpOperator,None,,,,,,,
default,Reclosing,cpOwner,None,,,,,,,
default,Reclosing,cpSite,None,,,,,,,
default,Reclosing,cpSubstat,None,,,,,,,
default,Reclosing,cpSupplySubstation,None,,,,,,,
default,Reclosing,cpSupplyTransformer,None,,,,,,,
default,Reclosing,cpSupplyTrfStation,None,,,,,,,
default,Reclosing,cpZone,None,,,,,,,
default,Reclosing,crecltime1,None,,,,,,,
default,Reclosing,crecltime11ph,None,,,,,,,
default,Reclosing,crecltime2,None,,,,,,,
default,Reclosing,crecltime3,None,,,,,,,
default,Reclosing,crecltime4,None,,,,,,,
