FOLDER,ELEMENT,ATTRIBUTE,,,,,,,
Relay Model,Tripping Element,ciLater,None,,,,,,
Relay Model,Tripping Element,ciOutaged,None,,,,,,
Relay Model,Tripping Element,cpArea,None,,,,,,
Relay Model,Tripping Element,cpBranch,None,,,,,,
Relay Model,Tripping Element,cpFeed,None,,,,,,
Relay Model,Tripping Element,cpGrid,None,,,,,,
Relay Model,Tripping Element,cpHeadFold,None,,,,,,
Relay Model,Tripping Element,cpMeteostat,None,,,,,,
Relay Model,Tripping Element,cpOperator,None,,,,,,
Relay Model,Tripping Element,cpOwner,None,,,,,,
Relay Model,Tripping Element,cpSite,None,,,,,,
Relay Model,Tripping Element,cpSubstat,None,,,,,,
Relay Model,Tripping Element,cpSupplySubstation,None,,,,,,
Relay Model,Tripping Element,cpSupplyTransformer,None,,,,,,
Relay Model,Tripping Element,cpSupplyTrfStation,None,,,,,,
Relay Model,Tripping Element,cpZone,None,,,,,,
Relay Model,Tripping Element,dat_src,None,,,,,,
Relay Model,Tripping Element,dataExtUnit,None,,,,,,
Relay Model,Tripping Element,fold_id,None,,,,,,
Relay Model,Tripping Element,for_name,None,,,,,,
Relay Model,Tripping Element,gnrl_modby,None,,,,,,
Relay Model,Tripping Element,gnrl_modif,None,,,,,,
Relay Model,Tripping Element,iSchemeStatus,None,,,,,,
Relay Model,Tripping Element,iout,None,,,,,,
Relay Model,Tripping Element,loc_name,None,,,,,,
Relay Model,Tripping Element,outserv,ON,,,,,,
Relay Model,Tripping Element,pSwitch,None,,,,,,
Relay Model,Tripping Element,root_id,None,,,,,,
Relay Model,Tripping Element,sLogic,None,,,,,,
Relay Model,Tripping Element,sTripsig,None,,,,,,
Relay Model,Tripping Element,typ_id,None,,,,,,
Relay Model,Closing Element,AttributeType,None,,,,,,
Relay Model,Closing Element,cDisplayName,None,,,,,,
Relay Model,Closing Element,cUserDefIndex,None,,,,,,
Relay Model,Closing Element,charact,None,,,,,,
Relay Model,Closing Element,chr_name,None,,,,,,
Relay Model,Closing Element,ciDist,None,,,,,,
Relay Model,Closing Element,ciDistAll,None,,,,,,
Relay Model,Closing Element,ciDistAllRoot,None,,,,,,
Relay Model,Closing Element,ciDistRoot,None,,,,,,
Relay Model,Closing Element,ciEarthed,None,,,,,,
Relay Model,Closing Element,ciEnergized,None,,,,,,
Relay Model,Closing Element,ciLater,None,,,,,,
Relay Model,Closing Element,ciOutaged,None,,,,,,
Relay Model,Closing Element,cpArea,None,,,,,,
Relay Model,Closing Element,cpBranch,None,,,,,,
Relay Model,Closing Element,cpFeed,None,,,,,,
Relay Model,Closing Element,cpGrid,None,,,,,,
Relay Model,Closing Element,cpHeadFold,None,,,,,,
Relay Model,Closing Element,cpMeteostat,None,,,,,,
Relay Model,Closing Element,cpOperator,None,,,,,,
Relay Model,Closing Element,cpOwner,None,,,,,,
Relay Model,Closing Element,cpSite,None,,,,,,
Relay Model,Closing Element,cpSubstat,None,,,,,,
Relay Model,Closing Element,cpSupplySubstation,None,,,,,,
Relay Model,Closing Element,cpSupplyTransformer,None,,,,,,
Relay Model,Closing Element,cpSupplyTrfStation,None,,,,,,
Relay Model,Closing Element,cpZone,None,,,,,,
Relay Model,Closing Element,dat_src,None,,,,,,
Relay Model,Closing Element,dataExtUnit,None,,,,,,
Relay Model,Closing Element,fold_id,None,,,,,,
Relay Model,Closing Element,for_name,None,,,,,,
Relay Model,Closing Element,gnrl_modby,None,,,,,,
Relay Model,Closing Element,gnrl_modif,None,,,,,,
Relay Model,Closing Element,iSchemeStatus,None,,,,,,
Relay Model,Closing Element,iout,None,,,,,,
Relay Model,Closing Element,loc_name,None,,,,,,
Relay Model,Closing Element,outserv,ON,,,,,,
Relay Model,Closing Element,pSwitch,None,,,,,,
Relay Model,Closing Element,root_id,None,,,,,,
Relay Model,Closing Element,typ_id,None,,,,,,
Relay Model,Phase Setting Current,AttributeType,None,,,,,,
Relay Model,Phase Setting Current,Ipset,None,,,,,,
Relay Model,Phase Setting Current,Ipsetr,Root/Protection/Protection Group A/,Phase Setting Current,use_setting,None,,,
Relay Model,Phase Setting Current,Trelblock,None,,,,,,
Relay Model,Phase Setting Current,Tset,None,,,,,,
Relay Model,Phase Setting Current,cDisplayName,None,,,,,,
Relay Model,Phase Setting Current,cTset,None,,,,,,
Relay Model,Phase Setting Current,cUserDefIndex,None,,,,,,
Relay Model,Phase Setting Current,c_sfansi,None,,,,,,
Relay Model,Phase Setting Current,c_sfiec,None,,,,,,
Relay Model,Phase Setting Current,c_type,None,,,,,,
Relay Model,Phase Setting Current,calcuse,None,,,,,,
Relay Model,Phase Setting Current,charact,None,,,,,,
Relay Model,Phase Setting Current,chr_name,None,,,,,,
Relay Model,Phase Setting Current,ciDist,None,,,,,,
Relay Model,Phase Setting Current,ciDistAll,None,,,,,,
Relay Model,Phase Setting Current,ciDistAllRoot,None,,,,,,
Relay Model,Phase Setting Current,ciDistRoot,None,,,,,,
Relay Model,Phase Setting Current,ciEarthed,None,,,,,,
Relay Model,Phase Setting Current,ciEnergized,None,,,,,,
Relay Model,Phase Setting Current,ciLater,None,,,,,,
Relay Model,Phase Setting Current,ciOutaged,None,,,,,,
Relay Model,Phase Setting Current,cpArea,None,,,,,,
Relay Model,Phase Setting Current,cpBranch,None,,,,,,
Relay Model,Phase Setting Current,cpFeed,None,,,,,,
Relay Model,Phase Setting Current,cpGrid,None,,,,,,
Relay Model,Phase Setting Current,cpHeadFold,None,,,,,,
Relay Model,Phase Setting Current,cpMeteostat,None,,,,,,
Relay Model,Phase Setting Current,cpOperator,None,,,,,,
Relay Model,Phase Setting Current,cpOwner,None,,,,,,
Relay Model,Phase Setting Current,cpSite,None,,,,,,
Relay Model,Phase Setting Current,cpSubstat,None,,,,,,
Relay Model,Phase Setting Current,cpSupplySubstation,None,,,,,,
Relay Model,Phase Setting Current,cpSupplyTransformer,None,,,,,,
Relay Model,Phase Setting Current,cpSupplyTrfStation,None,,,,,,
Relay Model,Phase Setting Current,cpZone,None,,,,,,
Relay Model,Phase Setting Current,cptotime,None,,,,,,
Relay Model,Phase Setting Current,dat_src,None,,,,,,
Relay Model,Phase Setting Current,dataExtUnit,None,,,,,,
Relay Model,Phase Setting Current,fold_id,None,,,,,,
Relay Model,Phase Setting Current,for_name,None,,,,,,
Relay Model,Phase Setting Current,gnrl_modby,None,,,,,,
Relay Model,Phase Setting Current,gnrl_modif,None,,,,,,
Relay Model,Phase Setting Current,iSchemeStatus,None,,,,,,
Relay Model,Phase Setting Current,iacceptblock,None,,,,,,
Relay Model,Phase Setting Current,idir,None,,,,,,
Relay Model,Phase Setting Current,loc_name,None,,,,,,
Relay Model,Phase Setting Current,outserv,ON,,,,,,
Relay Model,Phase Setting Current,root_id,None,,,,,,
Relay Model,Phase Setting Current,typ_id,None,,,,,,
Relay Model,Earth Setting Current,AttributeType,None,,,,,,
Relay Model,Earth Setting Current,Ipset,None,,,,,,
Relay Model,Earth Setting Current,Ipsetr,Root/Protection/Protection Group A/,Earth Setting Current,use_setting,None,,,
Relay Model,Earth Setting Current,Trelblock,None,,,,,,
Relay Model,Earth Setting Current,Tset,None,,,,,,
Relay Model,Earth Setting Current,cDisplayName,None,,,,,,
Relay Model,Earth Setting Current,cTset,None,,,,,,
Relay Model,Earth Setting Current,cUserDefIndex,None,,,,,,
Relay Model,Earth Setting Current,c_sfansi,None,,,,,,
Relay Model,Earth Setting Current,c_sfiec,None,,,,,,
Relay Model,Earth Setting Current,c_type,None,,,,,,
Relay Model,Earth Setting Current,calcuse,None,,,,,,
Relay Model,Earth Setting Current,charact,None,,,,,,
Relay Model,Earth Setting Current,chr_name,None,,,,,,
Relay Model,Earth Setting Current,ciDist,None,,,,,,
Relay Model,Earth Setting Current,ciDistAll,None,,,,,,
Relay Model,Earth Setting Current,ciDistAllRoot,None,,,,,,
Relay Model,Earth Setting Current,ciDistRoot,None,,,,,,
Relay Model,Earth Setting Current,ciEarthed,None,,,,,,
Relay Model,Earth Setting Current,ciEnergized,None,,,,,,
Relay Model,Earth Setting Current,ciLater,None,,,,,,
Relay Model,Earth Setting Current,ciOutaged,None,,,,,,
Relay Model,Earth Setting Current,cpArea,None,,,,,,
Relay Model,Earth Setting Current,cpBranch,None,,,,,,
Relay Model,Earth Setting Current,cpFeed,None,,,,,,
Relay Model,Earth Setting Current,cpGrid,None,,,,,,
Relay Model,Earth Setting Current,cpHeadFold,None,,,,,,
Relay Model,Earth Setting Current,cpMeteostat,None,,,,,,
Relay Model,Earth Setting Current,cpOperator,None,,,,,,
Relay Model,Earth Setting Current,cpOwner,None,,,,,,
Relay Model,Earth Setting Current,cpSite,None,,,,,,
Relay Model,Earth Setting Current,cpSubstat,None,,,,,,
Relay Model,Earth Setting Current,cpSupplySubstation,None,,,,,,
Relay Model,Earth Setting Current,cpSupplyTransformer,None,,,,,,
Relay Model,Earth Setting Current,cpSupplyTrfStation,None,,,,,,
Relay Model,Earth Setting Current,cpZone,None,,,,,,
Relay Model,Earth Setting Current,cptotime,None,,,,,,
Relay Model,Earth Setting Current,dat_src,None,,,,,,
Relay Model,Earth Setting Current,dataExtUnit,None,,,,,,
Relay Model,Earth Setting Current,fold_id,None,,,,,,
Relay Model,Earth Setting Current,for_name,None,,,,,,
Relay Model,Earth Setting Current,gnrl_modby,None,,,,,,
Relay Model,Earth Setting Current,gnrl_modif,None,,,,,,
Relay Model,Earth Setting Current,iSchemeStatus,None,,,,,,
Relay Model,Earth Setting Current,iacceptblock,None,,,,,,
Relay Model,Earth Setting Current,idir,None,,,,,,
Relay Model,Earth Setting Current,loc_name,None,,,,,,
Relay Model,Earth Setting Current,outserv,ON,,,,,,
Relay Model,Earth Setting Current,root_id,None,,,,,,
Relay Model,Earth Setting Current,typ_id,None,,,,,,
Relay Model,SEF Setting Current,AttributeType,None,,,,,,
Relay Model,SEF Setting Current,Ipset,None,,,,,,
Relay Model,SEF Setting Current,Ipsetr,Root/Protection/Protection Group A/,SEF Trip Current,use_setting,None,,,
Relay Model,SEF Setting Current,Trelblock,None,,,,,,
Relay Model,SEF Setting Current,Tset,None,,,,,,
Relay Model,SEF Setting Current,cDisplayName,None,,,,,,
Relay Model,SEF Setting Current,cTset,None,,,,,,
Relay Model,SEF Setting Current,cUserDefIndex,None,,,,,,
Relay Model,SEF Setting Current,c_sfansi,None,,,,,,
Relay Model,SEF Setting Current,c_sfiec,None,,,,,,
Relay Model,SEF Setting Current,c_type,None,,,,,,
Relay Model,SEF Setting Current,calcuse,None,,,,,,
Relay Model,SEF Setting Current,charact,None,,,,,,
Relay Model,SEF Setting Current,chr_name,None,,,,,,
Relay Model,SEF Setting Current,ciDist,None,,,,,,
Relay Model,SEF Setting Current,ciDistAll,None,,,,,,
Relay Model,SEF Setting Current,ciDistAllRoot,None,,,,,,
Relay Model,SEF Setting Current,ciDistRoot,None,,,,,,
Relay Model,SEF Setting Current,ciEarthed,None,,,,,,
Relay Model,SEF Setting Current,ciEnergized,None,,,,,,
Relay Model,SEF Setting Current,ciLater,None,,,,,,
Relay Model,SEF Setting Current,ciOutaged,None,,,,,,
Relay Model,SEF Setting Current,cpArea,None,,,,,,
Relay Model,SEF Setting Current,cpBranch,None,,,,,,
Relay Model,SEF Setting Current,cpFeed,None,,,,,,
Relay Model,SEF Setting Current,cpGrid,None,,,,,,
Relay Model,SEF Setting Current,cpHeadFold,None,,,,,,
Relay Model,SEF Setting Current,cpMeteostat,None,,,,,,
Relay Model,SEF Setting Current,cpOperator,None,,,,,,
Relay Model,SEF Setting Current,cpOwner,None,,,,,,
Relay Model,SEF Setting Current,cpSite,None,,,,,,
Relay Model,SEF Setting Current,cpSubstat,None,,,,,,
Relay Model,SEF Setting Current,cpSupplySubstation,None,,,,,,
Relay Model,SEF Setting Current,cpSupplyTransformer,None,,,,,,
Relay Model,SEF Setting Current,cpSupplyTrfStation,None,,,,,,
Relay Model,SEF Setting Current,cpZone,None,,,,,,
Relay Model,SEF Setting Current,cptotime,None,,,,,,
Relay Model,SEF Setting Current,dat_src,None,,,,,,
Relay Model,SEF Setting Current,dataExtUnit,None,,,,,,
Relay Model,SEF Setting Current,fold_id,None,,,,,,
Relay Model,SEF Setting Current,for_name,None,,,,,,
Relay Model,SEF Setting Current,gnrl_modby,None,,,,,,
Relay Model,SEF Setting Current,gnrl_modif,None,,,,,,
Relay Model,SEF Setting Current,iSchemeStatus,None,,,,,,
Relay Model,SEF Setting Current,iacceptblock,None,,,,,,
Relay Model,SEF Setting Current,idir,None,,,,,,
Relay Model,SEF Setting Current,loc_name,None,,,,,,
Relay Model,SEF Setting Current,outserv,ON,,,,,,
Relay Model,SEF Setting Current,root_id,None,,,,,,
Relay Model,SEF Setting Current,typ_id,None,,,,,,
Trip 1,Negative Phase Sequence,udeftmin,Root/Protection/Protection Group A/Trip 1/,Trip 1 Negative Phase Sequence Minimum Time,use_setting,None,,,
Trip 2,Negative Phase Sequence,udeftmin,Root/Protection/Protection Group A/Trip 2/,Trip 2 Negative Phase Sequence Minimum Time,use_setting,None,,,
Trip 3,Negative Phase Sequence,udeftmin,Root/Protection/Protection Group A/Trip 3/,Trip 3 Negative Phase Sequence Minimum Time,use_setting,None,,,
Trip 4,Negative Phase Sequence,udeftmin,Root/Protection/Protection Group A/Trip 4/,Trip 4 Negative Phase Sequence Minimum Time,use_setting,None,,,
Trip 1,Negative Phase Sequence,udeftmax,None,,,,,,
Trip 2,Negative Phase Sequence,udeftmax,None,,,,,,
Trip 3,Negative Phase Sequence,udeftmax,None,,,,,,
Trip 4,Negative Phase Sequence,udeftmax,None,,,,,,
Relay Model,NPS Setting Current,typ_id,None,,,,,,
Relay Model,NPS Pickup Multiplier,typ_id,None,,,,,,
Trip 1,Negative Phase Sequence,typ_id,None,,,,,,
Trip 1,NPS Instantaneous Multiplier,typ_id,None,,,,,,
Trip 2,Negative Phase Sequence,typ_id,None,,,,,,
