asset_id,equip_no,plant_no
105310350,000008650378,GS-788288                     
21025214,000002136436,GS-73728                      
112809015,000009506662,GS-916478                     
60300330,000002102600,GS-85258                      
112790725,000009490242,GS-913170                     
112393553,000009148564,GS-875651                     
10098732,000002273940,GS-70860                      
50063838,000002251621,GS-63247                      
10029918,000002684580,GS-53639                      
21023228,000002176287,GS-72295                      
10029493,000002310258,GS-53341                      
10029351,000002306110,GS-53234                      
50076141,000002558456,GS-64241                      
10105753,000002275823,GS-70919                      
84932093,000008112802,GS-1311440                    
83018956,000006176035,GS-414320                     
84982955,000008174594,GS-1340564                    
111819717,000008876603,GS-823638                     
111545097,000008684835,GS-796146                     
84077698,000006900955,GS-697360                     
84582860,000007740203,GS-1090880                    
10129621,000002739264,GS-71588                      
84431016,000007614769,GS-974560                     
84373189,000007357539,GS-935526                     
84225343,000007263371,GS-802081                     
102429080,000008635579,GS-787520                     
10135975,000002573464,GS-69283                      
84101071,000006936212,GS-717840                     
84153690,000007017904,GS-746204                     
40213642,000002301281,GS-62263                      
40216295,000002261072,GS-62746                      
100423780,000008668050,GS-786942                     
84488692,000007630041,GS-1016640                    
112552082,000009305067,GS-891766                     
112441904,000009196120,GS-881460                     
84895320,000008077424,GS-1274800                    
82933707,000005997810,GS-369200                     
60000934,000002237699,GS-65661                      
84795144,000007988175,GS-1211763                    
85257868,000008514339,GS-1472880                    
84711628,000007928663,GS-1170723                    
50063884,000002111885,GS-63266                      
85108301,000008274329,GS-1386240                    
84696531,000007928271,GS-1171521                    
112774597,000009478467,GS-911412                     
112340795,000009099195,GS-869832                     
50067588,000002857058,GS-63808                      
112312910,000009076669,GS-867628                     
112327791,000009087581,GS-869284                     
112317112,000009079874,GS-867673                     
111906566,000008911799,GS-854811                     
111905867,000008911359,GS-854830                     
111921480,000008917732,GS-855384                     
112495466,000009249561,GS-886549                     
112223265,000009011863,GS-861005                     
111748472,000008830873,GS-817032                     
111744230,000008827909,GS-816735                     
30184448,000002402616,GS-77647                      
50062536,000002133369,GS-80931                      
112169872,000008990213,GS-857589                     
111783290,000008852523,GS-820372                     
112343525,000009100914,GS-870598                     
111759633,000008838336,GS-818002                     
60001372,000002234480,GS-65939                      
111765508,000008841542,GS-818444                     
111764331,000008840861,GS-818780                     
111761687,000008839289,GS-815675                     
111757425,000008836555,GS-817707                     
