asset_id,equip_no,plant_no
60002561,000002183327,RC-66683                      
60002589,000002184199,RC-66709                      
84168149,000007034893,RC-694179                     
60002506,000002111548,RC-66629                      
84910432,000008091265,RC-1293920                    
21011576,000002581801,RC-55048                      
82679293,000005675763,RC-260400                     
84825393,000008018114,RC-1230720                    
111563971,000008697876,RC-797703                     
84043597,000006821800,RC-664166                     
21004125,000002595349,RC-54387                      
40208447,000002660795,RC-79431                      
60002325,000002272443,RC-66490                      
60002336,000002272860,RC-66500                      
84370955,000007370969,RC-930883                     
84526146,000007651784,RC-1015123                    
40197714,000002541822,RC-58138                      
50076148,000002558683,RC-64243                      
83903173,000006587603,RC-520720                     
10135935,000002626064,RC-94444                      
83963254,000006704284,RC-582720                     
30184246,000002798227,RC-77510                      
40203801,000002854667,RC-60321                      
25267974,000002408754,RC-74661                      
50070444,000002731976,RC-81279                      
50070973,000002493295,RC-81357                      
50070978,000002493466,RC-81360                      
50070979,000002493499,RC-81361                      
50064639,000002209764,RC-63368                      
50060211,000002391939,RC-80523                      
60322190,000002785372,RC-52582                      
85042116,000008235654,RC-1360963                    
104850941,000008639573,RC-787900                     
101402811,000008634610,RC-787377                     
111802422,000008862961,RC-822255                     
40214941,000002259116,RC-62714                      
84807538,000007993329,RC-1217440                    
84913880,000008093461,RC-1296160                    
84822193,000008012732,RC-1228161                    
84822197,000008012736,RC-1228164                    
40207965,000002350107,RC-79188                      
84100845,000006936062,RC-717520                     
81678890,000002626832,RC-69758                      
84341726,000007314597,RC-893048                     
84683069,000007902336,RC-1141601                    
60002456,000002109651,RC-66581                      
83956847,000006697323,RC-576483                     
83900212,000006584614,RC-517120                     
111564374,000008698189,RC-797915                     
111567656,000008701282,RC-798282                     
84737278,000007964460,RC-1199680                    
85358818,000008612883,RC-1533046                    
111550234,000008688456,RC-794343                     
40198514,000002090799,RC-58293                      
40198609,000002091431,RC-58311                      
84454467,000007521810,RC-989440                     
112231110,000009016925,RC-2268960                    
60002564,000002183444,RC-66686                      
60002382,000002273714,RC-66525                      
60002195,000002271479,RC-66437                      
30062080,000002528708,RC-56966                      
60001975,000002716472,RC-86393                      
10030044,000002690405,RC-53748                      
10030011,000002689075,RC-53722                      
10030016,000002689279,RC-53726                      
21024012,000002513397,RC-72855                      
40195990,000002796878,RC-57833                      
60321920,000002795553,RC-67358                      
40198750,000002092721,RC-58348                      
50075725,000002566349,RC-64200                      
81653050,000002692835,RC-70441                      
84474040,000007559981,RC-1003684                    
84474036,000007559985,RC-1003680                    
84506144,000007618203,RC-994563                     
84717391,000007935669,RC-1180560                    
111662995,000008773892,RC-808269                     
84265430,000007191329,RC-830880                     
50077428,000002512294,RC-64360                      
111556289,000008692286,RC-794263                     
111556275,000008692287,RC-794258                     
84345303,000007318998,RC-903840                     
50080015,000002381127,RC-81938                      
111678241,000008784613,RC-810724                     
50080113,000002390372,RC-82001                      
25266176,000002133025,RC-74022                      
84916240,000008096190,RC-1297440                    
84908504,000008088968,RC-789971                     
84977059,000008173724,RC-1342402                    
80120036,000002709436,RC-68657                      
80120035,000002709390,RC-68656                      
80120033,000002709301,RC-68654                      
84864489,000008055126,RC-1250562                    
111572688,000008704263,RC-1783603                    
84045614,000006826759,RC-646643                     
10129999,000002678379,RC-71626                      
10030597,000002800328,RC-54054                      
21024040,000002514295,RC-72871                      
25268504,000002405392,RC-55880                      
25267417,000002117145,RC-74551                      
40196344,000002117135,RC-57884                      
40207177,000002352765,RC-78725                      
40208426,000002660021,RC-79417                      
84568467,000007720918,RC-1077763                    
50079812,000002435071,RC-81865                      
40205180,000002780149,RC-61298                      
84975711,000008171380,RC-1341200                    
85151999,000008311076,RC-1403920                    
84684226,000007885675,RC-1143360                    
25267400,000002116539,RC-74534                      
40213686,000002087375,RC-89006                      
25267223,000002127427,RC-74367                      
82896017,000005913939,RC-351525                     
80126311,000002698951,RC-87869                      
40196577,000002119353,RC-57940                      
60002308,000002272003,RC-66478                      
60002311,000002272123,RC-66481                      
60025570,000002111835,RC-84975                      
60002528,000002112329,RC-66650                      
85198197,000008447974,RC-1421525                    
82665175,000005585603,RC-251042                     
84891849,000008075009,RC-884142                     
84458042,000007530109,RC-990960                     
84236640,000007146084,RC-810961                     
84258757,000007181323,RC-826485                     
25279595,000002690071,RC-70328                      
84884592,000008072401,RC-1263600                    
84932798,000008113826,RC-1313121                    
40205852,000002370561,RC-77916                      
25274979,000002347379,RC-56160                      
111503995,000008657176,RC-791185                     
111500671,000008654266,RC-790820                     
111500707,000008654276,RC-789868                     
40204080,000002420836,RC-60526                      
50060369,000002175490,RC-80546                      
85182770,000008431936,RC-893273                     
83052026,000006315775,RC-443360                     
84661649,000007852378,RC-1116483                    
84931525,000008112332,RC-1311040                    
30185823,000002793300,RC-77824                      
112381413,000009137022,RC-874793                     
111562489,000008696715,RC-796783                     
111570090,000008702053,RC-798833                     
60306842,000002030260,RC-67263                      
40208369,000002658544,RC-79388                      
84920310,000008102259,RC-884118                     
60330017,000002450747,RC-88366                      
84039493,000006816167,RC-659440                     
84234514,000007144715,RC-809766                     
25267363,000002420438,RC-74499                      
25266210,000002404648,RC-74049                      
25267138,000002124819,RC-74294                      
40203919,000002858490,RC-60404                      
40203429,000002431533,RC-60057                      
84530373,000007657767,RC-1051440                    
82921127,000005989539,RC-367213                     
84161635,000007026768,RC-642489                     
85358816,000008612881,RC-782942                     
84908596,000008089028,RC-1290400                    
60002309,000002272051,RC-66479                      
60002294,000002271866,RC-66468                      
60002317,000002272307,RC-66486                      
60002322,000002272418,RC-66489                      
60002458,000002109741,RC-66583                      
84724674,000007948618,RC-1189601                    
25267239,000002415346,RC-74382                      
40204896,000002415117,RC-61095                      
83868375,000006379722,RC-479682                     
40203920,000002858534,RC-60405                      
111802570,000008863019,RC-2091121                    
40196584,000002119455,RC-57942                      
10030646,000002801558,RC-54077                      
60002521,000002112061,RC-66643                      
60002473,000002110344,RC-66598                      
60002474,000002110380,RC-66599                      
85257796,000008514277,RC-1452162                    
30064136,000002853956,RC-786048                     
60002553,000002183050,RC-66675                      
40203212,000002037874,RC-59892                      
25268556,000002407142,RC-55909                      
21023372,000002520170,RC-72408                      
21009221,000002213392,RC-54855                      
84467646,000007550900,RC-998564                     
83946674,000006678427,RC-564565                     
40206348,000002361683,RC-78236                      
40217319,000002483271,RC-63005                      
85342659,000008595262,RC-1538720                    
84381176,000007369534,RC-921925                     
84328756,000007295876,RC-878162                     
25276228,000002877316,RC-75103                      
60002552,000002183020,RC-66674                      
82626903,000006309580,RC-68785-0001                 
84900165,000008082102,RC-1280720                    
84594787,000007762155,RC-1103285                    
111589445,000008717660,RC-801028                     
111668987,000008778458,RC-809539                     
21003224,000002247295,RC-54314                      
40218469,000002248947,RC-63124                      
112506493,000009259014,RC-887382                     
60325463,000002768652,RC-67580                      
83045325,000006214616,RC-432244                     
50071134,000002499268,RC-81388                      
50071162,000002841533,RC-81392                      
50071584,000002193913,RC-81427                      
50071581,000002193838,RC-81425                      
50072180,000002753927,RC-81504                      
21008569,000002589560,RC-54801                      
21008620,000002590231,RC-54809                      
21008867,000002591519,RC-54831                      
21023722,000002411375,RC-883756                     
84114968,000006958103,RC-724164                     
84543455,000007675609,RC-1060260                    
21012134,000002584203,RC-55091                      
84467642,000007550893,RC-998560                     
84750544,000007974231,RC-1204162                    
84715213,000007933284,RC-1177212                    
111517274,000008667556,RC-792841                     
111521308,000008670320,RC-793399                     
21008590,000002589922,RC-54803                      
10030558,000002799079,RC-54030                      
40199247,000002532533,RC-58466                      
40198744,000002092509,RC-58342                      
40208462,000002661403,RC-79444                      
50082564,000002389258,RC-82227                      
10040237,000002621068,RC-94907                      
40203297,000002426978,RC-59956                      
40204277,000002774320,RC-60658                      
40205817,000002369637,RC-77893                      
40205941,000002372834,RC-77964                      
40202800,000002467776,RC-59600                      
40207592,000002676044,RC-79025                      
40206010,000002754718,RC-78015                      
40206358,000002362012,RC-78244                      
10030603,000002800592,RC-54059                      
84581727,000007739228,RC-1089521                    
83986881,000006742940,RC-577931                     
84902052,000008084524,RC-884024                     
40208110,000002283799,RC-79276                      
80121933,000002196484,RC-86532                      
111718744,000008809460,RC-814244                     
40206821,000002744921,RC-78530                      
40196699,000002120559,RC-57969                      
60325689,000002146170,RC-67632                      
40197366,000002540174,RC-58100                      
60025463,000002231070,RC-84883                      
40206522,000002695122,RC-78366                      
60002233,000002271638,RC-66448                      
40197189,000002538539,RC-58064                      
40205334,000002405609,RC-61407                      
60002467,000002110102,RC-66592                      
40222860,000002396998,RC-80339                      
84174749,000007350293,RC-758800                     
84251039,000007169351,RC-820321                     
60002489,000002110934,RC-66614                      
60002054,000002270946,RC-66424                      
60002303,000002271906,RC-66475                      
50060857,000002172405,RC-80636                      
84171290,000007040290,RC-756560                     
82541712,000005321112,RC-317042                     
84166966,000007033562,RC-753120                     
84751820,000007976540,RC-1205681                    
30185849,000002794699,RC-57121                      
40197201,000002538759,RC-58069                      
40200463,000002491391,RC-58775                      
40200464,000002491447,RC-58776                      
50069794,000002049792,RC-81199                      
84179068,000007057522,RC-761920                     
84373111,000007357385,RC-935844                     
111848207,000008890682,RC-850653                     
40222244,000002460758,RC-80167                      
84000739,000006765168,RC-623840                     
40216375,000002263027,RC-62772                      
111667575,000008777417,RC-809483                     
85321751,000008576967,RC-1515363                    
40197088,000002537765,RC-58047                      
83996915,000006761821,RC-608804                     
10135416,000005320703,RC-236003                     
10134776,000005317355,RC-225121                     
30188902,000005358995,RC-244344                     
60002326,000002272484,RC-66491                      
84401612,000007402141,RC-953846                     
85344503,000008597672,RC-781209                     
85369821,000008622502,RC-1567040                    
83907286,000006599057,RC-524727                     
84289782,000007239211,RC-850080                     
84224826,000007130874,RC-801681                     
82897833,000005915779,RC-352560                     
111667552,000008777408,RC-1890480                    
111667549,000008777410,RC-801252                     
112474690,000009227742,RC-884698                     
112474688,000009227744,RC-884702                     
112543845,000009297726,RC-2662487                    
112449568,000009203363,RC-926527                     
111687678,000008790744,RC-811382                     
50072230,000002756055,RC-81508                      
83858745,000006355700,RC-456323                     
84529008,000007655832,RC-1013694                    
84585765,000007743001,RC-1094160                    
84368496,000007351040,RC-931054                     
111898804,000008907857,RC-853564                     
112303739,000009067737,RC-866844                     
112304598,000009068539,RC-867054                     
85163383,000008374918,RC-1415760                    
112305063,000009069006,RC-866250                     
112305060,000009069011,RC-866251                     
84500646,000007608303,RC-1028005                    
40208009,000002281822,RC-79215                      
82707928,000005716862,RC-269683                     
40197206,000002538954,RC-58073                      
83022925,000006181028,RC-413954                     
82913742,000005952165,RC-364724                     
85309856,000008566539,RC-1508804                    
21009147,000002592496,RC-54848                      
50065124,000002579486,RC-63448                      
82566634,000005319742,RC-336002                     
83873195,000006394377,RC-486401                     
111835019,000008889048,RC-851835                     
111835012,000008889052,RC-851831                     
111835013,000008889053,RC-851830                     
111829606,000008885266,RC-847932                     
111830962,000008886431,RC-849130                     
84322611,000007288134,RC-883688                     
82297760,000002169454,RC-94703                      
84420971,000007435005,RC-966480                     
111654517,000008767625,RC-808211                     
50066055,000002067579,RC-63584                      
84798144,000007988497,RC-1212249                    
84831269,000008022383,RC-1234560                    
84698505,000007903692,RC-1160724                    
