asset_id,equip_no,plant_no
81653260,000002693652,DO-70452                      
84921265,000008102781,DO-1302001                    
111600639,000008726661,DO-802058                     
111600623,000008726654,DO-802060                     
84594564,000007761914,DO-1103040                    
111613404,000008736885,DO-803928                     
83977802,000006729884,DO-599361                     
83872202,000006391748,DO-1707600                    
82964287,000006002122,DO-365455                     
82964286,000006002125,DO-365454                     
111721945,000008811229,DO-814796                     
111713333,000008825436,DO-813829                     
84721566,000007943009,DO-1186803                    
40202475,000002040781,DO-59415                      
40204448,000002843958,DO-852934                     
21024081,000002515752,DO-72900                      
60004915,000002195325,DO-52781                      
60003547,000002233988,DO-82754                      
81713187,000002334146,DO-95036                      
40199887,000002083294,DO-58609                      
83003775,000006157816,DO-379097                     
82993505,000006137479,DO-397520                     
83014599,000006171345,DO-408562                     
83001541,000006154897,DO-373653                     
83022529,000006180302,DO-416486                     
83017468,000006174068,DO-412560                     
82997003,000006143557,DO-396647                     
83020562,000006177658,DO-415206                     
82758216,000005775739,DO-297368                     
83917294,000006618746,DO-534880                     
84149728,000007013237,DO-745280                     
82579008,000005318819,DO-332570                     
84388012,000007377750,DO-943040                     
84096424,000006928507,DO-630003                     
83041324,000006207447,DO-428720                     
84054211,000006858471,DO-673040                     
84418838,000007431212,DO-965440                     
82976470,000006028051,DO-381600                     
84859246,000008050643,DO-1247680                    
80122605,000002705802,DO-86724                      
83040615,000006206832,DO-428000                     
84505360,000007617185,DO-1033526                    
84710185,000007926952,DO-1171040                    
84939341,000008121834,DO-1321280                    
10128776,000002264028,DO-71503                      
10030436,000002796037,DO-53972                      
83870842,000006389711,DO-483008                     
84720542,000007940386,DO-1185280                    
84812805,000007996650,DO-1220160                    
84378445,000007365032,DO-910166                     
84361604,000007341518,DO-922480                     
84367674,000007350465,DO-929840                     
84407018,000007411671,DO-957120                     
40200039,000002084103,DO-58633                      
84366363,000007348776,DO-928160                     
84407041,000007411670,DO-957200                     
84373490,000007357799,DO-936720                     
84655299,000007842151,DO-1108411                    
60306956,000002094154,DO-67302                      
84654193,000007841108,DO-1107680                    
84655869,000007842555,DO-1109200                    
60322777,000002148356,DO-67486                      
84655314,000007842400,DO-1108413                    
81705775,000002208807,DO-89327                      
84013672,000006785668,DO-632720                     
83843605,000006327406,DO-423128                     
84323691,000007289433,DO-885280                     
85171281,000008415871,DO-1401442                    
40208034,000002282362,DO-79232                      
83970586,000006714380,DO-591280                     
84776208,000007983522,DO-1208960                    
84776183,000007983540,DO-1208882                    
84131862,000006987123,DO-684322                     
40206386,000002362714,DO-786282                     
40206413,000002363401,DO-786276                     
84378178,000007364786,DO-910083                     
84404076,000007405314,DO-955705                     
84404091,000007405329,DO-955720                     
84376970,000007363381,DO-906486                     
83935411,000006656734,DO-550400                     
83935764,000006657431,DO-551122                     
83938791,000006662841,DO-554800                     
83830557,000006291880,DO-454640                     
84129589,000006984094,DO-656811                     
83047015,000006216469,DO-434240                     
84273774,000007202476,DO-836001                     
83877766,000006401861,DO-491281                     
81649620,000002505398,DO-70265                      
84011962,000006782793,DO-630481                     
80122450,000002703835,DO-86682                      
83843972,000006327930,DO-431130                     
40208358,000002287462,DO-79383                      
40202767,000002466927,DO-59583                      
84708740,000007924770,DO-1128325                    
40217023,000002255784,DO-62898                      
60330383,000002096940,DO-85905                      
10029562,000002806066,DO-53391                      
80098939,000002775150,DO-67780                      
112801842,000009499622,DO-931369                     
83016463,000006173393,DO-411041                     
40203125,000002034292,DO-59828                      
40199226,000002531751,DO-58450                      
83036262,000006198021,DO-425600                     
83943354,000006671144,DO-559921                     
83036559,000006270091,DO-426160                     
83844787,000006328853,DO-464561                     
83844746,000006328788,DO-441123                     
40206934,000002748251,DO-78594                      
40206602,000002698222,DO-78424                      
84013311,000006784564,DO-632322                     
84055564,000006859908,DO-674640                     
84776172,000007983557,DO-1208800                    
84776184,000007983460,DO-1208883                    
84192335,000007102036,DO-786323                     
50073802,000002635351,DO-81736                      
84775312,000007982885,DO-1982321                    
84142987,000007004436,DO-743121                     
40206384,000002362615,DO-786279                     
40206385,000002362667,DO-78260                      
40206387,000002362756,DO-78262                      
40206415,000002363480,DO-78279                      
84268827,000007420172,DO-811002                     
84351670,000007327129,DO-912320                     
84378047,000007364688,DO-2960806                    
84366469,000007348975,DO-928339                     
84404086,000007405324,DO-955715                     
84375252,000007359549,DO-938800                     
84382682,000007370985,DO-927042                     
84363235,000007343691,DO-924560                     
84413310,000007422339,DO-961922                     
84396506,000007393556,DO-949520                     
83052012,000006244080,DO-443283                     
84204094,000007101973,DO-786560                     
84071797,000006889928,DO-1672560                    
84260214,000007182784,DO-769843                     
84168156,000007034899,DO-694186                     
84168160,000007034903,DO-694190                     
84168164,000007034907,DO-694194                     
81666577,000002754057,DO-88372                      
84281151,000007212735,DO-841920                     
81649616,000002505223,DO-70261                      
84112564,000006951758,DO-703284                     
40197944,000002544518,DO-58194                      
40202437,000002039584,DO-59394                      
82971991,000006027208,DO-378320                     
111659436,000008770958,DO-808093                     
111659445,000008770971,DO-807365                     
111654624,000008767731,DO-808351                     
111654565,000008767723,DO-807338                     
84852503,000008044351,DO-1244801                    
111660144,000008771378,DO-808732                     
82981457,000006040479,DO-389443                     
83836927,000006317799,DO-438242                     
83843872,000006327813,DO-463922                     
83817132,000006283241,DO-447383                     
40206279,000002359845,DO-808492                     
83836912,000006317726,DO-427042                     
40197150,000002538053,DO-58053                      
85072942,000008250308,DO-1370800                    
40198243,000002089355,DO-58251                      
84939002,000008121362,DO-1320961                    
84565003,000007714051,DO-1714880                    
84572136,000007725156,DO-1080640                    
85226211,000008479705,DO-1587920                    
85196702,000008446776,DO-1435444                    
85291404,000008549286,DO-1494080                    
40209024,000002311443,DO-79583                      
85240786,000008496220,DO-771155                     
40196684,000002120454,DO-57967                      
83846816,000006332994,DO-411445                     
111665619,000008776205,DO-808883-0001                
83843500,000006327070,DO-463442                     
83843571,000006327248,DO-428243                     
83840609,000006322942,DO-461040                     
83056965,000006315978,DO-458240                     
83017138,000006324853,DO-411760                     
83842843,000006326364,DO-462960                     
83844437,000006328585,DO-464336                     
83844441,000006328561,DO-464340                     
84437373,000007468536,DO-978163                     
21005598,000002241108,DO-54540                      
83934517,000006653655,DO-123-0056                   
84900601,000008083035,DO-1587363                    
10128361,000002748045,DO-71341                      
10030063,000002691332,DO-53766                      
112785505,000009486083,DO-912388                     
112822412,000009519232,DO-917774                     
40204861,000002414515,DO-61080                      
40205053,000002774715,DO-61189                      
84554666,000007697837,DO-1067962                    
83873269,000006394471,DO-486482                     
111772362,000008846000,DO-818856                     
111774749,000008847406,DO-819358                     
30062190,000002531153,DO-57011                      
111617325,000008740378,DO-804284                     
111658414,000008770305,DO-808507                     
111658439,000008770311,DO-808509                     
111658394,000008770312,DO-808474                     
111658430,000008770313,DO-808458                     
111658397,000008770306,DO-808476                     
111658404,000008770308,DO-808516                     
111658428,000008770310,DO-808462                     
111657909,000008769833,DO-808538                     
111657824,000008769821,DO-808004-0001                
111657839,000008769825,DO-808485                     
10130143,000002682228,DO-71689                      
111658135,000008770024,DO-808596                     
111658131,000008770025,DO-808549                     
111659377,000008770903,DO-807230                     
111659326,000008770918,DO-807232                     
111659272,000008770908,DO-808556                     
111639383,000008767331,DO-806737                     
111655058,000008768274,DO-808482                     
40203039,000002030391,DO-59766                      
111654379,000008767620,DO-808410                     
111654003,000008767591,DO-808010                     
111657590,000008769543,DO-807975                     
111660114,000008771341,DO-808805                     
111657764,000008769629,DO-808570                     
111659813,000008771086,DO-808728                     
111659647,000008771082,DO-807952                     
111659848,000008771130,DO-807512                     
